Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51
サブジェクトエリア名,,,,,,,,,,,,,出願マスタ（特実）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ファイル名（論理名）,,,,,,,,,,,,,特許事件ステータスファイル,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ファイル名（物理名）,,,,,,,,,,,,,pmcs_g_case_stat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ファイル名,,,,,,,,,,,,,pmcs_g_case_stat.tsv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
項番,,提供項目名（論理名）,,,,,,,,,,,,,,,,,,,,,提供項目名（物理名）,,,,,,,,,,,,,"主
キー",,論理データ型,,,,,,,,,,"コード
INDEX",,,備考
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,型,,,,,最大桁数,,,,,,,,
1,,四法コード,,,,,,,,,,,,,,,,,,,,,law_cd,,,,,,,,,,,,,○,,半角文字列型,,,,,1,,,,,01290,,,
2,,出願番号,,,,,,,,,,,,,,,,,,,,,app_num,,,,,,,,,,,,,○,,半角文字列型,,,,,10,,,,,01550,,,
3,,事件ステータス_削除フラグ,,,,,,,,,,,,,,,,,,,,,cs_delete_flg,,,,,,,,,,,,,,,半角文字列型,,,,,1,,,,,01280,,,
4,,事件ステータス_更新日時,,,,,,,,,,,,,,,,,,,,,cs_update_dttm,,,,,,,,,,,,,,,半角文字列型,,,,,14,,,,,-,,,
5,,事件ステータス記事_削除フラグ,,,,,,,,,,,,,,,,,,,,,cscs_delete_flg,,,,,,,,,,,,,,,半角文字列型,,,,,1,,,,,01280,,,"削除フラグが""Y""の場合、該当記事の情報は空白又は0となる。"
6,,事件ステータス記事_審査請求リストマーク,,,,,,,,,,,,,,,,,,,,,cscs_exam_claim_list_mk,,,,,,,,,,,,,,,半角文字列型,,,,,1,,,,,01480,,,
7,,事件ステータス記事_最終処分日,,,,,,,,,,,,,,,,,,,,,cscs_final_dspst_dt,,,,,,,,,,,,,,,半角文字列型,,,,,8,,,,,-,,,
8,,事件ステータス記事_早期審査マーク,,,,,,,,,,,,,,,,,,,,,cscs_acclrtd_exam_mk,,,,,,,,,,,,,,,半角文字列型,,,,,1,,,,,01580,,,
9,,事件ステータス記事_公開準備フラグ,,,,,,,,,,,,,,,,,,,,,cscs_pub_prep_flg,,,,,,,,,,,,,,,半角文字列型,,,,,1,,,,,01140,,,
10,,事件ステータス記事_適用法規区分,,,,,,,,,,,,,,,,,,,,,cscs_applicable_law_class,,,,,,,,,,,,,,,半角文字列型,,,,,1,,,,,01670,,,
11,,事件ステータス記事_審査種別,,,,,,,,,,,,,,,,,,,,,cscs_exam_typ,,,,,,,,,,,,,,,半角文字列型,,,,,2,,,,,01470,,,
12,,事件ステータス記事_訴訟コード,,,,,,,,,,,,,,,,,,,,,cscs_litigate_cd,,,,,,,,,,,,,,,半角文字列型,,,,,1,,,,,01570,,,
13,,事件ステータス記事_査定種別コード,,,,,,,,,,,,,,,,,,,,,cscs_final_decision_typ_cd,,,,,,,,,,,,,,,半角文字列型,,,,,1,,,,,01260,,,
14,,事件ステータス記事_審査請求数,,,,,,,,,,,,,,,,,,,,,cscs_exam_claim_cnt,,,,,,,,,,,,,,,数値型,,,,,2,,,,,-,,,
15,,事件ステータス記事_新願フラグ,,,,,,,,,,,,,,,,,,,,,cscs_newapp_flg,,,,,,,,,,,,,,,半角文字列型,,,,,1,,,,,01490,,,
16,,事件ステータス記事_後の国内優先権フラグ,,,,,,,,,,,,,,,,,,,,,cscs_later_intnl_pri_flg,,,,,,,,,,,,,,,半角文字列型,,,,,1,,,,,-,,,
17,,事件ステータス記事_参考文献マーク,,,,,,,,,,,,,,,,,,,,,cscs_citd_others_mk,,,,,,,,,,,,,,,半角文字列型,,,,,1,,,,,-,,,
