Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51
サブジェクトエリア名,,,,,,,,,,,,,出願マスタ（特実）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ファイル名（論理名）,,,,,,,,,,,,,特許出願人発の事件書誌繰返データファイル,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ファイル名（物理名）,,,,,,,,,,,,,pmab_gr_appl_case_biblog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ファイル名,,,,,,,,,,,,,pmab_gr_appl_case_biblog.tsv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
項番,,提供項目名（論理名）,,,,,,,,,,,,,,,,,,,,,提供項目名（物理名）,,,,,,,,,,,,,"主
キー",,論理データ型,,,,,,,,,,"コード
INDEX",,,備考
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,型,,,,,最大桁数,,,,,,,,
1,,四法コード,,,,,,,,,,,,,,,,,,,,,law_cd,,,,,,,,,,,,,○,,半角文字列型,,,,,1,,,,,01290,,,
2,,出願番号,,,,,,,,,,,,,,,,,,,,,app_num,,,,,,,,,,,,,○,,半角文字列型,,,,,10,,,,,01550,,,
3,,記事ID,,,,,,,,,,,,,,,,,,,,,article_id,,,,,,,,,,,,,○,,半角文字列型,,,,,2,,,,,01840,,,
4,,繰返番号,,,,,,,,,,,,,,,,,,,,,repeat_num,,,,,,,,,,,,,○,,数値型,,,,,9,,,,,-,,,
5,,パリ条約に基づく優先権記事_優先権出願番号,,,,,,,,,,,,,,,,,,,,,abpp_pri_app_num,,,,,,,,,,,,,,,半角文字列型,,,,,20,,,,,01810,,,
6,,パリ条約に基づく優先権記事_優先権主張日,,,,,,,,,,,,,,,,,,,,,abpp_pri_claim_dt,,,,,,,,,,,,,,,半角文字列型,,,,,8,,,,,-,,,
7,,パリ条約に基づく優先権記事_優先権国コード,,,,,,,,,,,,,,,,,,,,,abpp_pri_cntry_cd,,,,,,,,,,,,,,,半角文字列型,,,,,2,,,,,01200,,,
8,,国内優先権記事_国内優先権四法コード,,,,,,,,,,,,,,,,,,,,,abip_intnl_pri_law_cd,,,,,,,,,,,,,,,半角文字列型,,,,,1,,,,,01290,,,
9,,国内優先権記事_国内優先権出願番号,,,,,,,,,,,,,,,,,,,,,abip_intnl_pri_app_num,,,,,,,,,,,,,,,半角文字列型,,,,,10,,,,,01550,,,
10,,国内優先権記事_国際出願番号,,,,,,,,,,,,,,,,,,,,,abip_intl_app_num,,,,,,,,,,,,,,,半角文字列型,,,,,12,,,,,01250,,,
11,,国内優先権記事_主張日,,,,,,,,,,,,,,,,,,,,,abip_claim_dt,,,,,,,,,,,,,,,半角文字列型,,,,,8,,,,,-,,,
12,,新出願記事_新願出願種別,,,,,,,,,,,,,,,,,,,,,abna_newapp_app_typ,,,,,,,,,,,,,,,半角文字列型,,,,,2,,,,,01360,,,
13,,新出願記事_新願四法コード,,,,,,,,,,,,,,,,,,,,,abna_newapp_law_cd,,,,,,,,,,,,,,,半角文字列型,,,,,1,,,,,01290,,,
