Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51
サブジェクトエリア名,,,,,,,,,,,,,出願マスタ（特実）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ファイル名（論理名）,,,,,,,,,,,,,特許出願書類ファイル,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ファイル名（物理名）,,,,,,,,,,,,,pmap_g_app_doc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ファイル名,,,,,,,,,,,,,pmap_g_app_doc.tsv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
項番,,提供項目名（論理名）,,,,,,,,,,,,,,,,,,,,,提供項目名（物理名）,,,,,,,,,,,,,"主
キー",,論理データ型,,,,,,,,,,"コード
INDEX",,,備考
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,型,,,,,最大桁数,,,,,,,,
1,,四法コード,,,,,,,,,,,,,,,,,,,,,law_cd,,,,,,,,,,,,,○,,半角文字列型,,,,,1,,,,,01290,,,
2,,出願番号,,,,,,,,,,,,,,,,,,,,,app_num,,,,,,,,,,,,,○,,半角文字列型,,,,,10,,,,,01550,,,
3,,格納順序番号,,,,,,,,,,,,,,,,,,,,,storing_seq_num,,,,,,,,,,,,,○,,数値型,,,,,9,,,,,-,,,
4,,記事ID,,,,,,,,,,,,,,,,,,,,,article_id,,,,,,,,,,,,,,,半角文字列型,,,,,2,,,,,01840,,,
5,,出願書類_削除フラグ,,,,,,,,,,,,,,,,,,,,,ap_delete_flg,,,,,,,,,,,,,,,半角文字列型,,,,,1,,,,,01280,,,
6,,出願書類_更新日時,,,,,,,,,,,,,,,,,,,,,ap_update_dttm,,,,,,,,,,,,,,,半角文字列型,,,,,14,,,,,-,,,
7,,申請書類記事_削除フラグ,,,,,,,,,,,,,,,,,,,,,apad_delete_flg,,,,,,,,,,,,,,,半角文字列型,,,,,1,,,,,01280,,,"削除フラグが""Y""の場合、該当記事の情報は空白又は0となる。"
8,,申請書類記事_更新日時,,,,,,,,,,,,,,,,,,,,,apad_update_dttm,,,,,,,,,,,,,,,半角文字列型,,,,,14,,,,,-,,,
9,,申請書類記事_作成日,,,,,,,,,,,,,,,,,,,,,apad_create_dt,,,,,,,,,,,,,,,半角文字列型,,,,,8,,,,,-,,,
10,,申請書類記事_有効フラグ,,,,,,,,,,,,,,,,,,,,,apad_valid_flg,,,,,,,,,,,,,,,半角文字列型,,,,,1,,,,,01820,,,
11,,申請書類記事_中間書類コード,,,,,,,,,,,,,,,,,,,,,apad_intrmd_doc_cd,,,,,,,,,,,,,,,半角文字列型,,,,,7,,,,,01640,,,
12,,申請書類記事_対応マーク,,,,,,,,,,,,,,,,,,,,,apad_crrspnd_mk,,,,,,,,,,,,,,,半角文字列型,,,,,2,,,,,01590,,,
13,,申請書類記事_差出日,,,,,,,,,,,,,,,,,,,,,apad_submit_dt,,,,,,,,,,,,,,,半角文字列型,,,,,8,,,,,-,,,
14,,申請書類記事_受付日,,,,,,,,,,,,,,,,,,,,,apad_rcpt_dt,,,,,,,,,,,,,,,半角文字列型,,,,,8,,,,,-,,,
15,,申請書類記事_閲覧禁止フラグ,,,,,,,,,,,,,,,,,,,,,apad_inspect_prhbt_flg,,,,,,,,,,,,,,,半角文字列型,,,,,1,,,,,01070,,,
16,,申請書類記事_異議申立番号,,,,,,,,,,,,,,,,,,,,,apad_opp_num,,,,,,,,,,,,,,,半角文字列型,,,,,2,,,,,01060,,,
17,,申請書類記事_受付番号,,,,,,,,,,,,,,,,,,,,,apad_rcpt_num,,,,,,,,,,,,,,,半角文字列型,,,,,11,,,,,01330,,,
18,,申請書類記事_方式完マーク,,,,,,,,,,,,,,,,,,,,,apad_frml_chked_mk,,,,,,,,,,,,,,,半角文字列型,,,,,1,,,,,01780,,,
19,,申請書類記事_指令完フラグ,,,,,,,,,,,,,,,,,,,,,apad_instructed_flg,,,,,,,,,,,,,,,半角文字列型,,,,,1,,,,,01310,,,
20,,申請書類記事_処分日,,,,,,,,,,,,,,,,,,,,,apad_dspst_dt,,,,,,,,,,,,,,,半角文字列型,,,,,8,,,,,-,,,
21,,申請書類記事_変更対象出願人・代理人IDコード,,,,,,,,,,,,,,,,,,,,,apad_change_appl_atty_id,,,,,,,,,,,,,,,半角文字列型,,,,,9,,,,,01520,,,
22,,申請書類記事_優先権提出国コード,,,,,,,,,,,,,,,,,,,,,apad_pri_submit_cntry_cd,,,,,,,,,,,,,,,半角文字列型,,,,,9,,,,,01200,,,
23,,申請書類記事_バージョン番号,,,,,,,,,,,,,,,,,,,,,apad_ver_num,,,,,,,,,,,,,,,半角文字列型,,,,,4,,,,,01030,,,
24,,申請書類記事_明細書バージョン,,,,,,,,,,,,,,,,,,,,,apad_descript_ver_num,,,,,,,,,,,,,,,半角文字列型,,,,,1,,,,,-,,,
25,,申請書類記事_無効後書類有無,,,,,,,,,,,,,,,,,,,,,apad_invalid_doc_flg,,,,,,,,,,,,,,,半角文字列型,,,,,1,,,,,01800,,,
26,,申請書類記事_書類フォーマット種別,,,,,,,,,,,,,,,,,,,,,apad_doc_frmt_typ,,,,,,,,,,,,,,,半角文字列型,,,,,1,,,,,01410,,,
27,,申請書類記事_対応する書類番号,,,,,,,,,,,,,,,,,,,,,apad_crrspnd_doc_num,,,,,,,,,,,,,,,半角文字列型,,,,,11,,,,,01430,,,
28,,申請書類記事_書類種別コード,,,,,,,,,,,,,,,,,,,,,apad_doc_typ_cd,,,,,,,,,,,,,,,半角文字列型,,,,,1,,,,,01420,,,
29,,申請書類記事_補正対象書類受付番号,,,,,,,,,,,,,,,,,,,,,apad_amend_doc_rcpt_num,,,,,,,,,,,,,,,半角文字列型,,,,,11,,,,,01330,,,
30,,申請書類記事_蓄積番号,,,,,,,,,,,,,,,,,,,,,apad_store_num,,,,,,,,,,,,,,,半角文字列型,,,,,2,,,,,-,,,
31,,申請書類記事_DNA配列表有無フラグ,,,,,,,,,,,,,,,,,,,,,apad_dna_flg,,,,,,,,,,,,,,,半角文字列型,,,,,1,,,,,-,,,
32,,申請書類記事_明細書、補正の内容等の頁数,,,,,,,,,,,,,,,,,,,,,apad_description_page,,,,,,,,,,,,,,,数値型,,,,,5,,,,,-,,,
33,,申請書類記事_明細書の有無,,,,,,,,,,,,,,,,,,,,,apad_descript_flg,,,,,,,,,,,,,,,半角文字列型,,,,,1,,,,,-,,,
34,,申請書類記事_図面頁数,,,,,,,,,,,,,,,,,,,,,apad_drawing_page,,,,,,,,,,,,,,,数値型,,,,,5,,,,,-,,,
35,,申請書類記事_図面の有無,,,,,,,,,,,,,,,,,,,,,apad_drawing_flg,,,,,,,,,,,,,,,半角文字列型,,,,,1,,,,,-,,,
36,,申請書類記事_要約書頁数,,,,,,,,,,,,,,,,,,,,,apad_abstrct_doc_page,,,,,,,,,,,,,,,数値型,,,,,5,,,,,-,,,
37,,申請書類記事_要約書、添付書類、請求の範囲の有無,,,,,,,,,,,,,,,,,,,,,apad_abstrct_flg,,,,,,,,,,,,,,,半角文字列型,,,,,1,,,,,-,,,
38,,申請書類記事_添付書類頁数,,,,,,,,,,,,,,,,,,,,,apad_attchd_doc_page,,,,,,,,,,,,,,,数値型,,,,,5,,,,,-,,,
39,,申請書類記事_書類サイズ,,,,,,,,,,,,,,,,,,,,,apad_doc_size,,,,,,,,,,,,,,,数値型,,,,,6,,,,,-,,,
40,,発送書類記事_削除フラグ,,,,,,,,,,,,,,,,,,,,,apdd_delete_flg,,,,,,,,,,,,,,,半角文字列型,,,,,1,,,,,01280,,,"削除フラグが""Y""の場合、該当記事の情報は空白又は0となる。"
41,,発送書類記事_作成日,,,,,,,,,,,,,,,,,,,,,apdd_create_dt,,,,,,,,,,,,,,,半角文字列型,,,,,8,,,,,-,,,
42,,発送書類記事_有効フラグ,,,,,,,,,,,,,,,,,,,,,apdd_valid_flg,,,,,,,,,,,,,,,半角文字列型,,,,,1,,,,,01820,,,
43,,発送書類記事_中間書類コード,,,,,,,,,,,,,,,,,,,,,apdd_intrmd_doc_cd,,,,,,,,,,,,,,,半角文字列型,,,,,7,,,,,01640,,,
44,,発送書類記事_対応マーク,,,,,,,,,,,,,,,,,,,,,apdd_crrspnd_mk,,,,,,,,,,,,,,,半角文字列型,,,,,2,,,,,01590,,,
45,,発送書類記事_起案日,,,,,,,,,,,,,,,,,,,,,apdd_draft_dt,,,,,,,,,,,,,,,半角文字列型,,,,,8,,,,,-,,,
46,,発送書類記事_発送日,,,,,,,,,,,,,,,,,,,,,apdd_dsptch_dt,,,,,,,,,,,,,,,半角文字列型,,,,,8,,,,,-,,,
47,,発送書類記事_閲覧禁止フラグ,,,,,,,,,,,,,,,,,,,,,apdd_inspect_prhbt_flg,,,,,,,,,,,,,,,半角文字列型,,,,,1,,,,,01070,,,
48,,発送書類記事_異議申立番号,,,,,,,,,,,,,,,,,,,,,apdd_opp_num,,,,,,,,,,,,,,,半角文字列型,,,,,2,,,,,01060,,,
49,,発送書類記事_発送書類番号,,,,,,,,,,,,,,,,,,,,,apdd_dsptch_doc_num,,,,,,,,,,,,,,,半角文字列型,,,,,11,,,,,01430,,,
50,,発送書類記事_拒絶理由条文コード,,,,,,,,,,,,,,,,,,,,,apdd_rjct_reason_art_cd,,,,,,,,,,,,,,,半角文字列型,,,,,2,,,,,01080,,,"2021年7月20日以降、付与停止
（なお、2021年5月6日以降、一次審査案件の一部については先行して付与停止）"
51,,発送書類記事_バージョン番号,,,,,,,,,,,,,,,,,,,,,apdd_ver_num,,,,,,,,,,,,,,,半角文字列型,,,,,4,,,,,01030,,,
52,,発送書類記事_無効後書類有無,,,,,,,,,,,,,,,,,,,,,apdd_invalid_doc_flg,,,,,,,,,,,,,,,半角文字列型,,,,,1,,,,,01800,,,
53,,発送書類記事_書類フォーマット種別,,,,,,,,,,,,,,,,,,,,,apdd_doc_frmt_typ,,,,,,,,,,,,,,,半角文字列型,,,,,1,,,,,01410,,,
54,,発送書類記事_対応する書類番号,,,,,,,,,,,,,,,,,,,,,apdd_crrspnd_doc_num,,,,,,,,,,,,,,,半角文字列型,,,,,11,,,,,01430,,,
