Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51
サブジェクトエリア名,,,,,,,,,,,,,出願マスタ（特実）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ファイル名（論理名）,,,,,,,,,,,,,実用特許庁発の事件書誌繰返データファイル,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ファイル名（物理名）,,,,,,,,,,,,,umjb_gr_jpo_case_biblog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ファイル名,,,,,,,,,,,,,umjb_gr_jpo_case_biblog.tsv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
項番,,提供項目名（論理名）,,,,,,,,,,,,,,,,,,,,,提供項目名（物理名）,,,,,,,,,,,,,"主
キー",,論理データ型,,,,,,,,,,"コード
INDEX",,,備考
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,型,,,,,最大桁数,,,,,,,,
1,,四法コード,,,,,,,,,,,,,,,,,,,,,law_cd,,,,,,,,,,,,,○,,半角文字列型,,,,,1,,,,,01290,,,
2,,出願番号,,,,,,,,,,,,,,,,,,,,,app_num,,,,,,,,,,,,,○,,半角文字列型,,,,,10,,,,,01550,,,
3,,記事ID,,,,,,,,,,,,,,,,,,,,,article_id,,,,,,,,,,,,,○,,半角文字列型,,,,,2,,,,,01840,,,
4,,繰返番号,,,,,,,,,,,,,,,,,,,,,repeat_num,,,,,,,,,,,,,○,,数値型,,,,,9,,,,,-,,,
5,,公開・公表IPC記事_補正マーク,,,,,,,,,,,,,,,,,,,,,jbui_amend_mk,,,,,,,,,,,,,,,半角文字列型,,,,,1,,,,,01770,,,2020年1月以降、付与停止
6,,公開・公表IPC記事_版コード,,,,,,,,,,,,,,,,,,,,,jbui_ver_num,,,,,,,,,,,,,,,半角文字列型,,,,,1,,,,,01710,,,2020年1月以降、付与停止
7,,公開・公表IPC記事_順序番号,,,,,,,,,,,,,,,,,,,,,jbui_seq_num,,,,,,,,,,,,,,,数値型,,,,,4,,,,,01390,,,2020年1月以降、付与停止
8,,公開・公表IPC記事_公開・公表IPC分類,,,,,,,,,,,,,,,,,,,,,jbui_pub_ipc,,,,,,,,,,,,,,,半角文字列型,,,,,36,,,,,01130,,,2020年1月以降、付与停止
9,,登録IPC記事_補正マーク,,,,,,,,,,,,,,,,,,,,,jbri_amend_mk,,,,,,,,,,,,,,,半角文字列型,,,,,1,,,,,01770,,,2020年1月以降、基本的に付与停止（2023年5月までは審判由来の付与あり）
10,,登録IPC記事_版コード,,,,,,,,,,,,,,,,,,,,,jbri_ver_num,,,,,,,,,,,,,,,半角文字列型,,,,,1,,,,,01710,,,2020年1月以降、基本的に付与停止（2023年5月までは審判由来の付与あり）
11,,登録IPC記事_順序番号,,,,,,,,,,,,,,,,,,,,,jbri_seq_num,,,,,,,,,,,,,,,数値型,,,,,4,,,,,01390,,,2020年1月以降、基本的に付与停止（2023年5月までは審判由来の付与あり）
12,,登録IPC記事_登録IPC分類,,,,,,,,,,,,,,,,,,,,,jbri_reg_ipc,,,,,,,,,,,,,,,半角文字列型,,,,,36,,,,,-,,,2020年1月以降、基本的に付与停止（2023年5月までは審判由来の付与あり）
13,,公開・公表FI記事_分類種別,,,,,,,,,,,,,,,,,,,,,jbuf_fi_class_typ,,,,,,,,,,,,,,,半角文字列型,,,,,1,,,,,01760,,,
14,,公開・公表FI記事_左記号,,,,,,,,,,,,,,,,,,,,,jbuf_fi_left_sign,,,,,,,,,,,,,,,半角文字列型,,,,,1,,,,,01130,,,公開公表ＩＰＣの「左記号」
15,,公開・公表FI記事_セクション,,,,,,,,,,,,,,,,,,,,,jbuf_fi_section,,,,,,,,,,,,,,,半角文字列型,,,,,1,,,,,01130,,,公開公表ＩＰＣの「セクション」
16,,公開・公表FI記事_クラス,,,,,,,,,,,,,,,,,,,,,jbuf_fi_class,,,,,,,,,,,,,,,半角文字列型,,,,,2,,,,,01130,,,公開公表ＩＰＣの「クラス」
17,,公開・公表FI記事_サブクラス,,,,,,,,,,,,,,,,,,,,,jbuf_fi_subclass,,,,,,,,,,,,,,,半角文字列型,,,,,1,,,,,01130,,,公開公表ＩＰＣの「サブクラス」
18,,公開・公表FI記事_メイングループ,,,,,,,,,,,,,,,,,,,,,jbuf_fi_main_grp,,,,,,,,,,,,,,,半角文字列型,,,,,4,,,,,01130,,,公開公表ＩＰＣの「メイングループ」
19,,公開・公表FI記事_セパレータ,,,,,,,,,,,,,,,,,,,,,jbuf_fi_separator,,,,,,,,,,,,,,,半角文字列型,,,,,1,,,,,01130,,,公開公表ＩＰＣの「セパレータ」
20,,公開・公表FI記事_サブグループ,,,,,,,,,,,,,,,,,,,,,jbuf_fi_sub_grp,,,,,,,,,,,,,,,半角文字列型,,,,,6,,,,,01130,,,公開公表ＩＰＣの「サブグループ」
21,,公開・公表FI記事_展開記号,,,,,,,,,,,,,,,,,,,,,jbuf_fi_subdiv_sign,,,,,,,,,,,,,,,半角文字列型,,,,,3,,,,,01130,,,
22,,公開・公表FI記事_分冊識別,,,,,,,,,,,,,,,,,,,,,jbuf_fi_separate_vol_class,,,,,,,,,,,,,,,半角文字列型,,,,,1,,,,,01750,,,
23,,公開・公表FI記事_ファセット,,,,,,,,,,,,,,,,,,,,,jbuf_fi_facet,,,,,,,,,,,,,,,半角文字列型,,,,,3,,,,,01320,,,
24,,公開・公表FI記事_右記号,,,,,,,,,,,,,,,,,,,,,jbuf_fi_right_sign,,,,,,,,,,,,,,,半角文字列型,,,,,2,,,,,01130,,,公開公表ＩＰＣの「右記号」
25,,公開・公表FI記事_庁内整理番号,,,,,,,,,,,,,,,,,,,,,jbuf_fi_jpo_refer_num,,,,,,,,,,,,,,,半角文字列型,,,,,9,,,,,01660,,,
26,,公開・公表FI記事_補正マーク,,,,,,,,,,,,,,,,,,,,,jbuf_fi_amend_mk,,,,,,,,,,,,,,,半角文字列型,,,,,1,,,,,01770,,,
27,,公開・公表FI記事_予備,,,,,,,,,,,,,,,,,,,,,jbuf_fi_prlmnry,,,,,,,,,,,,,,,半角文字列型,,,,,1,,,,,01130,,,公開公表ＩＰＣの「予備」
28,,登録FI記事_分類種別,,,,,,,,,,,,,,,,,,,,,jbrf_fi_class_typ,,,,,,,,,,,,,,,半角文字列型,,,,,1,,,,,01760,,,
29,,登録FI記事_左記号,,,,,,,,,,,,,,,,,,,,,jbrf_fi_left_sign,,,,,,,,,,,,,,,半角文字列型,,,,,1,,,,,-,,,登録ＩＰＣの「左記号」
30,,登録FI記事_セクション,,,,,,,,,,,,,,,,,,,,,jbrf_fi_section,,,,,,,,,,,,,,,半角文字列型,,,,,1,,,,,-,,,登録ＩＰＣの「セクション」
31,,登録FI記事_クラス,,,,,,,,,,,,,,,,,,,,,jbrf_fi_class,,,,,,,,,,,,,,,半角文字列型,,,,,2,,,,,-,,,登録ＩＰＣの「クラス」
32,,登録FI記事_サブクラス,,,,,,,,,,,,,,,,,,,,,jbrf_fi_subclass,,,,,,,,,,,,,,,半角文字列型,,,,,1,,,,,-,,,登録ＩＰＣの「サブクラス」
33,,登録FI記事_メイングループ,,,,,,,,,,,,,,,,,,,,,jbrf_fi_main_grp,,,,,,,,,,,,,,,半角文字列型,,,,,4,,,,,-,,,登録ＩＰＣの「メイングループ」
34,,登録FI記事_セパレータ,,,,,,,,,,,,,,,,,,,,,jbrf_fi_separator,,,,,,,,,,,,,,,半角文字列型,,,,,1,,,,,-,,,登録ＩＰＣの「セパレータ」
35,,登録FI記事_サブグループ,,,,,,,,,,,,,,,,,,,,,jbrf_fi_sub_grp,,,,,,,,,,,,,,,半角文字列型,,,,,6,,,,,-,,,登録ＩＰＣの「サブグループ」
36,,登録FI記事_展開記号,,,,,,,,,,,,,,,,,,,,,jbrf_fi_subdiv_sign,,,,,,,,,,,,,,,半角文字列型,,,,,3,,,,,01320,,,
37,,登録FI記事_分冊識別,,,,,,,,,,,,,,,,,,,,,jbrf_fi_separate_vol_class,,,,,,,,,,,,,,,半角文字列型,,,,,1,,,,,01750,,,
38,,登録FI記事_ファセット,,,,,,,,,,,,,,,,,,,,,jbrf_fi_facet,,,,,,,,,,,,,,,半角文字列型,,,,,3,,,,,01320,,,
39,,登録FI記事_右記号,,,,,,,,,,,,,,,,,,,,,jbrf_fi_right_sign,,,,,,,,,,,,,,,半角文字列型,,,,,2,,,,,-,,,登録ＩＰＣの「右記号」
40,,登録FI記事_庁内整理番号,,,,,,,,,,,,,,,,,,,,,jbrf_fi_jpo_refer_num,,,,,,,,,,,,,,,半角文字列型,,,,,9,,,,,01660,,,
41,,登録FI記事_補正マーク,,,,,,,,,,,,,,,,,,,,,jbrf_fi_amend_mk,,,,,,,,,,,,,,,半角文字列型,,,,,1,,,,,01770,,,
42,,登録FI記事_予備,,,,,,,,,,,,,,,,,,,,,jbrf_fi_prlmnry,,,,,,,,,,,,,,,半角文字列型,,,,,1,,,,,-,,,登録ＩＰＣの「予備」
