Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51
サブジェクトエリア名,,,,,,,,,,,,,出願マスタ（特実）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ファイル名（論理名）,,,,,,,,,,,,,実用異議情報ファイル,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ファイル名（物理名）,,,,,,,,,,,,,umoi_g_opposition_info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ファイル名,,,,,,,,,,,,,umoi_g_opposition_info.tsv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
項番,,提供項目名（論理名）,,,,,,,,,,,,,,,,,,,,,提供項目名（物理名）,,,,,,,,,,,,,"主
キー",,論理データ型,,,,,,,,,,"コード
INDEX",,,備考
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,型,,,,,最大桁数,,,,,,,,
1,,四法コード,,,,,,,,,,,,,,,,,,,,,law_cd,,,,,,,,,,,,,○,,半角文字列型,,,,,1,,,,,01290,,,
2,,出願番号,,,,,,,,,,,,,,,,,,,,,app_num,,,,,,,,,,,,,○,,半角文字列型,,,,,10,,,,,01550,,,
3,,異議番号,,,,,,,,,,,,,,,,,,,,,opp_num,,,,,,,,,,,,,○,,半角文字列型,,,,,2,,,,,01060,,,
4,,異議情報_削除フラグ,,,,,,,,,,,,,,,,,,,,,oi_delete_flg,,,,,,,,,,,,,,,半角文字列型,,,,,1,,,,,01280,,,
5,,異議情報_更新日時,,,,,,,,,,,,,,,,,,,,,oi_update_dttm,,,,,,,,,,,,,,,半角文字列型,,,,,14,,,,,-,,,
6,,事件の表示記事_削除フラグ,,,,,,,,,,,,,,,,,,,,,oici_delete_flg,,,,,,,,,,,,,,,半角文字列型,,,,,1,,,,,01280,,,"削除フラグが""Y""の場合、該当記事の情報は空白又は0となる。"
7,,事件の表示記事_異議申立日,,,,,,,,,,,,,,,,,,,,,oici_opp_dt,,,,,,,,,,,,,,,半角文字列型,,,,,8,,,,,-,,,
8,,異議情報記事_削除フラグ,,,,,,,,,,,,,,,,,,,,,oiop_delete_flg,,,,,,,,,,,,,,,半角文字列型,,,,,1,,,,,01280,,,"削除フラグが""Y""の場合、該当記事の情報は空白又は0となる。"
9,,異議情報記事_異議決定の内容,,,,,,,,,,,,,,,,,,,,,oiop_opp_decision_content,,,,,,,,,,,,,,,半角文字列型,,,,,1,,,,,01040,,,
10,,異議申立人・申立代理人記事_削除フラグ,,,,,,,,,,,,,,,,,,,,,oioa_delete_flg,,,,,,,,,,,,,,,半角文字列型,,,,,1,,,,,01280,,,
11,,異議住所・氏名記事_削除フラグ,,,,,,,,,,,,,,,,,,,,,oion_delete_flg,,,,,,,,,,,,,,,半角文字列型,,,,,1,,,,,01280,,,
