Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51
サブジェクトエリア名,,,,,,,,,,,,,出願マスタ（特実）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ファイル名（論理名）,,,,,,,,,,,,,国際出願書類ファイル,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ファイル名（物理名）,,,,,,,,,,,,,cmia_g_intl_app_doc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ファイル名,,,,,,,,,,,,,cmia_g_intl_app_doc.tsv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
項番,,提供項目名（論理名）,,,,,,,,,,,,,,,,,,,,,提供項目名（物理名）,,,,,,,,,,,,,"主
キー",,論理データ型,,,,,,,,,,"コード
INDEX",,,備考
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,型,,,,,最大桁数,,,,,,,,
1,,国際出願番号,,,,,,,,,,,,,,,,,,,,,intl_app_num,,,,,,,,,,,,,○,,半角文字列型,,,,,12,,,,,01250,,,
2,,格納順序番号,,,,,,,,,,,,,,,,,,,,,storing_seq_num,,,,,,,,,,,,,○,,数値型,,,,,9,,,,,-,,,
3,,記事ID,,,,,,,,,,,,,,,,,,,,,article_id,,,,,,,,,,,,,,,半角文字列型,,,,,2,,,,,01840,,,
4,,国際出願書類_削除フラグ,,,,,,,,,,,,,,,,,,,,,ia_delete_flg,,,,,,,,,,,,,,,半角文字列型,,,,,1,,,,,01280,,,
5,,国際出願書類_更新日時,,,,,,,,,,,,,,,,,,,,,ia_update_dttm,,,,,,,,,,,,,,,半角文字列型,,,,,14,,,,,-,,,
6,,IB申請書類記事_削除フラグ,,,,,,,,,,,,,,,,,,,,,iaba_delete_flg,,,,,,,,,,,,,,,半角文字列型,,,,,1,,,,,01280,,,"削除フラグが""Y""の場合、該当記事の情報は空白又は0となる。"
7,,IB申請書類記事_作成日,,,,,,,,,,,,,,,,,,,,,iaba_create_dt,,,,,,,,,,,,,,,半角文字列型,,,,,8,,,,,-,,,
8,,IB申請書類記事_有効フラグ,,,,,,,,,,,,,,,,,,,,,iaba_valid_flg,,,,,,,,,,,,,,,半角文字列型,,,,,1,,,,,01820,,,
9,,IB申請書類記事_中間書類コード,,,,,,,,,,,,,,,,,,,,,iaba_intrmd_doc_cd,,,,,,,,,,,,,,,半角文字列型,,,,,7,,,,,01640,,,
10,,IB申請書類記事_受付日,,,,,,,,,,,,,,,,,,,,,iaba_rcpt_dt,,,,,,,,,,,,,,,半角文字列型,,,,,8,,,,,-,,,
11,,IB申請書類記事_チェック完フラグ,,,,,,,,,,,,,,,,,,,,,iaba_checked_flg,,,,,,,,,,,,,,,半角文字列型,,,,,1,,,,,01020,,,
12,,IB申請書類記事_処分日,,,,,,,,,,,,,,,,,,,,,iaba_dspst_dt,,,,,,,,,,,,,,,半角文字列型,,,,,8,,,,,-,,,
13,,IB申請書類記事_対応する書類番号,,,,,,,,,,,,,,,,,,,,,iaba_crrspnd_doc_num,,,,,,,,,,,,,,,半角文字列型,,,,,11,,,,,01430,,,
14,,IB申請書類記事_受付番号,,,,,,,,,,,,,,,,,,,,,iaba_rcpt_num,,,,,,,,,,,,,,,半角文字列型,,,,,11,,,,,01330,,,
15,,IB申請書類記事_書類種別コード,,,,,,,,,,,,,,,,,,,,,iaba_doc_typ_cd,,,,,,,,,,,,,,,半角文字列型,,,,,1,,,,,01420,,,
16,,IB申請書類記事_バージョン番号,,,,,,,,,,,,,,,,,,,,,iaba_ver_num,,,,,,,,,,,,,,,半角文字列型,,,,,4,,,,,01030,,,
17,,IB申請書類記事_明細書バージョン,,,,,,,,,,,,,,,,,,,,,iaba_descript_ver_num,,,,,,,,,,,,,,,半角文字列型,,,,,1,,,,,-,,,
18,,IB申請書類記事_DNA配列表有無フラグ,,,,,,,,,,,,,,,,,,,,,iaba_dna_flg,,,,,,,,,,,,,,,半角文字列型,,,,,1,,,,,-,,,
19,,IB申請書類記事_明細書、補正の内容等の頁数,,,,,,,,,,,,,,,,,,,,,iaba_description_page,,,,,,,,,,,,,,,数値型,,,,,5,,,,,-,,,
20,,IB申請書類記事_明細書の有無,,,,,,,,,,,,,,,,,,,,,iaba_descript_flg,,,,,,,,,,,,,,,半角文字列型,,,,,1,,,,,-,,,
21,,IB申請書類記事_図面頁数,,,,,,,,,,,,,,,,,,,,,iaba_drawing_page,,,,,,,,,,,,,,,数値型,,,,,5,,,,,-,,,
22,,IB申請書類記事_図面の有無,,,,,,,,,,,,,,,,,,,,,iaba_drawing_flg,,,,,,,,,,,,,,,半角文字列型,,,,,1,,,,,-,,,
23,,IB申請書類記事_要約書頁数,,,,,,,,,,,,,,,,,,,,,iaba_abstrct_doc_page,,,,,,,,,,,,,,,数値型,,,,,5,,,,,-,,,
24,,IB申請書類記事_要約書、添付書類、請求の範囲の有無,,,,,,,,,,,,,,,,,,,,,iaba_abstrct_flg,,,,,,,,,,,,,,,半角文字列型,,,,,1,,,,,-,,,
25,,IB申請書類記事_添付書類頁数,,,,,,,,,,,,,,,,,,,,,iaba_attchd_doc_page,,,,,,,,,,,,,,,数値型,,,,,5,,,,,-,,,
