Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51
サブジェクトエリア名,,,,,,,,,,,,,出願マスタ（特実）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ファイル名（論理名）,,,,,,,,,,,,,IB中間記録ファイル,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ファイル名（物理名）,,,,,,,,,,,,,cmdo_ib_intermed_rec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ファイル名,,,,,,,,,,,,,cmdo_ib_intermed_rec.tsv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
項番,,提供項目名（論理名）,,,,,,,,,,,,,,,,,,,,,提供項目名（物理名）,,,,,,,,,,,,,"主
キー",,論理データ型,,,,,,,,,,"コード
INDEX",,,備考
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,型,,,,,最大桁数,,,,,,,,
1,,IB中間記録情報記事_国内出願四法コード,,,,,,,,,,,,,,,,,,,,,irir_intnl_app_law_cd,,,,,,,,,,,,,○,,半角文字列型,,,,,1,,,,,01290,,,
2,,IB中間記録情報記事_国内出願番号,,,,,,,,,,,,,,,,,,,,,irir_intnl_app_num,,,,,,,,,,,,,○,,半角文字列型,,,,,10,,,,,01550,,,
3,,IB中間記録情報記事_IB中間記録情報通番,,,,,,,,,,,,,,,,,,,,,irir_ib_intrmd_serial_num,,,,,,,,,,,,,○,,数値型,,,,,9,,,,,-,,,
4,,IB中間記録情報記事_入力日,,,,,,,,,,,,,,,,,,,,,irir_input_dt,,,,,,,,,,,,,,,半角文字列型,,,,,8,,,,,-,,,
5,,IB中間記録情報記事_有効フラグ,,,,,,,,,,,,,,,,,,,,,irir_valid_flg,,,,,,,,,,,,,,,半角文字列型,,,,,1,,,,,01820,,,
6,,IB中間記録情報記事_種別コード,,,,,,,,,,,,,,,,,,,,,irir_typ_cd,,,,,,,,,,,,,,,半角文字列型,,,,,5,,,,,-,,,
7,,IB中間記録情報記事_受付日,,,,,,,,,,,,,,,,,,,,,irir_rcpt_dt,,,,,,,,,,,,,,,半角文字列型,,,,,8,,,,,-,,,
8,,IB中間記録情報記事_フラグ1,,,,,,,,,,,,,,,,,,,,,irir_flg_1,,,,,,,,,,,,,,,半角文字列型,,,,,1,,,,,-,,,
9,,IB中間記録情報記事_フラグ2,,,,,,,,,,,,,,,,,,,,,irir_flg_2,,,,,,,,,,,,,,,半角文字列型,,,,,1,,,,,-,,,
10,,IB中間記録情報記事_フラグ3,,,,,,,,,,,,,,,,,,,,,irir_flg_3,,,,,,,,,,,,,,,半角文字列型,,,,,1,,,,,-,,,
11,,IB中間記録情報記事_フラグ4,,,,,,,,,,,,,,,,,,,,,irir_flg_4,,,,,,,,,,,,,,,半角文字列型,,,,,1,,,,,-,,,
12,,IB中間記録情報記事_フラグ5,,,,,,,,,,,,,,,,,,,,,irir_flg_5,,,,,,,,,,,,,,,半角文字列型,,,,,1,,,,,-,,,
