Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51
サブジェクトエリア名,,,,,,,,,,,,,出願マスタ（特実）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ファイル名（論理名）,,,,,,,,,,,,,申請人情報ファイル,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ファイル名（物理名）,,,,,,,,,,,,,sinseinin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ファイル名,,,,,,,,,,,,,sinseinin.tsv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
項番,,提供項目名（論理名）,,,,,,,,,,,,,,,,,,,,,提供項目名（物理名）,,,,,,,,,,,,,"主
キー",,論理データ型,,,,,,,,,,"コード
INDEX",,,備考
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,型,,,,,最大桁数,,,,,,,,
1,,申請人コード,,,,,,,,,,,,,,,,,,,,,sinseinin_code,,,,,,,,,,,,,○,,半角文字列型,,,,,9,,,,,01520,,,
2,,バージョン番号,,,,,,,,,,,,,,,,,,,,,version_no,,,,,,,,,,,,,○,,数値型,,,,,3,,,,,-,,,
3,,国コード,,,,,,,,,,,,,,,,,,,,,kuni_code,,,,,,,,,,,,,,,半角文字列型,,,,,2,,,,,01200,,,
4,,都道府県コード,,,,,,,,,,,,,,,,,,,,,todohuken_code,,,,,,,,,,,,,,,半角文字列型,,,,,2,,,,,01690,,,
5,,個法官識別,,,,,,,,,,,,,,,,,,,,,kohokan_sikibetu,,,,,,,,,,,,,,,半角文字列型,,,,,1,,,,,01120,,,
6,,抹消理由マーク,,,,,,,,,,,,,,,,,,,,,masshoriyu_mark,,,,,,,,,,,,,,,半角文字列型,,,,,1,,,,,01790,,,
7,,統合申請人コード,,,,,,,,,,,,,,,,,,,,,togosinseinin_code,,,,,,,,,,,,,,,半角文字列型,,,,,9,,,,,01520,,,
