Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51
サブジェクトエリア名,,,,,,,,,,,,,出願マスタ（特実）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ファイル名（論理名）,,,,,,,,,,,,,ABC情報ファイル,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ファイル名（物理名）,,,,,,,,,,,,,abc_cd_info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ファイル名,,,,,,,,,,,,,abc_cd_info.tsv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
項番,,提供項目名（論理名）,,,,,,,,,,,,,,,,,,,,,提供項目名（物理名）,,,,,,,,,,,,,"主
キー",,論理データ型,,,,,,,,,,"コード
INDEX",,,備考
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,型,,,,,最大桁数,,,,,,,,
1,,出願人・代理人区分,,,,,,,,,,,,,,,,,,,,,appl_atty_class,,,,,,,,,,,,,○,,半角文字列型,,,,,1,,,,,01370,,,
2,,出願人・代理人コード,,,,,,,,,,,,,,,,,,,,,appl_atty_cd,,,,,,,,,,,,,○,,半角文字列型,,,,,9,,,,,01520,,,
3,,変更番号,,,,,,,,,,,,,,,,,,,,,change_num,,,,,,,,,,,,,○,,半角文字列型,,,,,5,,,,,-,,,
4,,有効フラグ,,,,,,,,,,,,,,,,,,,,,valid_flg,,,,,,,,,,,,,,,半角文字列型,,,,,1,,,,,01820,,,
5,,個法官別コード,,,,,,,,,,,,,,,,,,,,,req_typ,,,,,,,,,,,,,,,半角文字列型,,,,,1,,,,,01120,,,
6,,国県コード,,,,,,,,,,,,,,,,,,,,,pref_cd,,,,,,,,,,,,,,,半角文字列型,,,,,2,,,,,01210,,,
7,,出願人住所,,,,,,,,,,,,,,,,,,,,,appl_addr,,,,,,,,,,,,,,,全角文字列型,,,,,200,,,,,-,,,
8,,出願人氏名,,,,,,,,,,,,,,,,,,,,,appl_name,,,,,,,,,,,,,,,全角文字列型,,,,,200,,,,,-,,,
9,,代理人住所,,,,,,,,,,,,,,,,,,,,,atty_addr,,,,,,,,,,,,,,,全角文字列型,,,,,200,,,,,-,,,
10,,代理人氏名,,,,,,,,,,,,,,,,,,,,,atty_name,,,,,,,,,,,,,,,全角文字列型,,,,,200,,,,,-,,,
11,,抹消理由,,,,,,,,,,,,,,,,,,,,,erasure_reason,,,,,,,,,,,,,,,半角文字列型,,,,,1,,,,,01790,,,
