Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51
サブジェクトエリア名,,,,,,,,,,,,,出願マスタ（意商）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ファイル名（論理名）,,,,,,,,,,,,,事件フォルダ_意匠_出願人代理人情報ファイル,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ファイル名（物理名）,,,,,,,,,,,,,jiken_c_d_shutugannindairinin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ファイル名,,,,,,,,,,,,,jiken_c_d_shutugannindairinin.tsv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
項番,,提供項目名（論理名）,,,,,,,,,,,,,,,,,,,,,提供項目名（物理名）,,,,,,,,,,,,,"主
キー",,論理データ型,,,,,,,,,,"コード
INDEX",,,備考
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,型,,,,,最大桁数,,,,,,,,
1,,四法コード,,,,,,,,,,,,,,,,,,,,,yonpo_code,,,,,,,,,,,,,○,,半角文字列型,,,,,1,,,,,02210,,,
2,,出願番号,,,,,,,,,,,,,,,,,,,,,shutugan_no,,,,,,,,,,,,,○,,半角文字列型,,,,,10,,,,,02020,,,
3,,出願人代理人識別,,,,,,,,,,,,,,,,,,,,,shutugannindairinin_sikbt,,,,,,,,,,,,,,,半角文字列型,,,,,1,,,,,02240,,,
4,,出願人代理人コード,,,,,,,,,,,,,,,,,,,,,shutugannindairinin_code,,,,,,,,,,,,,,,半角文字列型,,,,,9,,,,,02320,,,
5,,出願人代理人記事変更番号,,,,,,,,,,,,,,,,,,,,,gez_henko_no,,,,,,,,,,,,,,,半角文字列型,,,,,4,,,,,-,,,
6,,出願人代理人記事個法官区分,,,,,,,,,,,,,,,,,,,,,gez_kohokan_kubun,,,,,,,,,,,,,,,半角文字列型,,,,,1,,,,,02140,,,
7,,出願人代理人記事国県コード,,,,,,,,,,,,,,,,,,,,,gez_kokken_code,,,,,,,,,,,,,,,半角文字列型,,,,,2,,,,,02180,,,
8,,代表出願人識別,,,,,,,,,,,,,,,,,,,,,daihyoshutugannin_sikibetu,,,,,,,,,,,,,,,半角文字列型,,,,,1,,,,,02390,,,
9,,上記出願人何名,,,,,,,,,,,,,,,,,,,,,jokishutugannin_nanmei,,,,,,,,,,,,,,,半角文字列型,,,,,2,,,,,-,,,
10,,代理人外何名,,,,,,,,,,,,,,,,,,,,,dairininhoka_nanmei,,,,,,,,,,,,,,,半角文字列型,,,,,2,,,,,-,,,
11,,代理人種別,,,,,,,,,,,,,,,,,,,,,dairinin_shubetu,,,,,,,,,,,,,,,半角文字列型,,,,,1,,,,,02410,,,
12,,代理人資格種別,,,,,,,,,,,,,,,,,,,,,dairininsikaku_shubetu,,,,,,,,,,,,,,,半角文字列型,,,,,1,,,,,02400,,,
13,,出願人代理人住所,,,,,,,,,,,,,,,,,,,,,shutugannindairinin_jusho,,,,,,,,,,,,,,,全半角文字列型,,,,,1000,,,,,-,,,
14,,出願人代理人氏名,,,,,,,,,,,,,,,,,,,,,shutugannindairinin_simei,,,,,,,,,,,,,,,全半角文字列型,,,,,1000,,,,,-,,,
15,,出願人代理人記事順序番号,,,,,,,,,,,,,,,,,,,,,gez_junjo_no,,,,,,,,,,,,,○,,数値型,,,,,4,,,,,-,,,
