Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51
サブジェクトエリア名,,,,,,,,,,,,,出願マスタ（意商）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ファイル名（論理名）,,,,,,,,,,,,,事件フォルダ_商標_異議申立人申立代理人情報ファイル,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ファイル名（物理名）,,,,,,,,,,,,,jiken_c_t_igimositatnnmsttdrnn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ファイル名,,,,,,,,,,,,,jiken_c_t_igimositatnnmsttdrnn.tsv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
項番,,提供項目名（論理名）,,,,,,,,,,,,,,,,,,,,,提供項目名（物理名）,,,,,,,,,,,,,"主
キー",,論理データ型,,,,,,,,,,"コード
INDEX",,,備考
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,型,,,,,最大桁数,,,,,,,,
1,,四法コード,,,,,,,,,,,,,,,,,,,,,yonpo_code,,,,,,,,,,,,,○,,半角文字列型,,,,,1,,,,,02210,,,
2,,出願番号,,,,,,,,,,,,,,,,,,,,,shutugan_no,,,,,,,,,,,,,○,,半角文字列型,,,,,10,,,,,02020,,,
3,,異議申立人記事異議番号,,,,,,,,,,,,,,,,,,,,,igi_no,,,,,,,,,,,,,,,半角文字列型,,,,,2,,,,,02090,,,
4,,異議申立人申立代理人識別,,,,,,,,,,,,,,,,,,,,,igimositatnnmsttdrnn_sikbt,,,,,,,,,,,,,,,半角文字列型,,,,,1,,,,,02240,,,
5,,異議申立人申立代理人コード,,,,,,,,,,,,,,,,,,,,,igimositatennmsttdrnn_code,,,,,,,,,,,,,,,半角文字列型,,,,,9,,,,,02320,,,
6,,異議申立人記事個法官区分,,,,,,,,,,,,,,,,,,,,,giz_kohokan_kubun,,,,,,,,,,,,,,,半角文字列型,,,,,1,,,,,02140,,,
7,,異議申立人記事国県コード,,,,,,,,,,,,,,,,,,,,,giz_kokken_code,,,,,,,,,,,,,,,半角文字列型,,,,,2,,,,,02180,,,
8,,上記異議申立人何名,,,,,,,,,,,,,,,,,,,,,jokiigimositatenin_nanmei,,,,,,,,,,,,,,,半角文字列型,,,,,2,,,,,-,,,
9,,異議申立代理人外何名,,,,,,,,,,,,,,,,,,,,,igimositatedairinnhk_nanme,,,,,,,,,,,,,,,半角文字列型,,,,,2,,,,,-,,,
10,,異議申立代理人種別,,,,,,,,,,,,,,,,,,,,,igimositatedairinin_shubt,,,,,,,,,,,,,,,半角文字列型,,,,,1,,,,,02410,,,
11,,異議申立代理人資格種別,,,,,,,,,,,,,,,,,,,,,igimositatedairnnskk_shubt,,,,,,,,,,,,,,,半角文字列型,,,,,1,,,,,02400,,,
12,,異議申立人申立代理人住所,,,,,,,,,,,,,,,,,,,,,igimositatnnmsttdrnn_jusho,,,,,,,,,,,,,,,全半角文字列型,,,,,1000,,,,,-,,,
13,,異議申立人申立代理人氏名,,,,,,,,,,,,,,,,,,,,,igimositatnnmsttdrnn_simei,,,,,,,,,,,,,,,全半角文字列型,,,,,1000,,,,,-,,,
14,,異議申立人記事順序番号,,,,,,,,,,,,,,,,,,,,,giz_junjo_no,,,,,,,,,,,,,○,,数値型,,,,,4,,,,,-,,,
