Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51
サブジェクトエリア名,,,,,,,,,,,,,出願マスタ（意商）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ファイル名（論理名）,,,,,,,,,,,,,事件フォルダ_商標_申請中間記録ファイル,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ファイル名（物理名）,,,,,,,,,,,,,jiken_c_t_sinsei_dv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ファイル名,,,,,,,,,,,,,jiken_c_t_sinsei_dv.tsv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
項番,,提供項目名（論理名）,,,,,,,,,,,,,,,,,,,,,提供項目名（物理名）,,,,,,,,,,,,,"主
キー",,論理データ型,,,,,,,,,,"コード
INDEX",,,備考
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,型,,,,,最大桁数,,,,,,,,
1,,四法コード,,,,,,,,,,,,,,,,,,,,,yonpo_code,,,,,,,,,,,,,○,,半角文字列型,,,,,1,,,,,02210,,,
2,,出願番号,,,,,,,,,,,,,,,,,,,,,shutugan_no,,,,,,,,,,,,,○,,半角文字列型,,,,,10,,,,,02020,,,
3,,フォルダ別作成順序番号,,,,,,,,,,,,,,,,,,,,,folderbetusakusejnj_no,,,,,,,,,,,,,○,,半角文字列型,,,,,4,,,,,-,,,
4,,作成日,,,,,,,,,,,,,,,,,,,,,sakusei_bi,,,,,,,,,,,,,,,半角文字列型,,,,,8,,,,,-,,,
5,,中間書類コード,,,,,,,,,,,,,,,,,,,,,chukanshorui_code,,,,,,,,,,,,,,,半角文字列型,,,,,7,,,,,02420,,,
6,,対応マーク,,,,,,,,,,,,,,,,,,,,,taio_mark,,,,,,,,,,,,,,,半角文字列型,,,,,2,,,,,02380,,,
7,,差出日,,,,,,,,,,,,,,,,,,,,,sasidasi_bi,,,,,,,,,,,,,,,半角文字列型,,,,,8,,,,,-,,,
8,,受付日,,,,,,,,,,,,,,,,,,,,,uketuke_bi,,,,,,,,,,,,,,,半角文字列型,,,,,8,,,,,-,,,
9,,異議番号,,,,,,,,,,,,,,,,,,,,,aaz_igi_no,,,,,,,,,,,,,,,半角文字列型,,,,,2,,,,,02090,,,
10,,書類番号,,,,,,,,,,,,,,,,,,,,,shorui_no,,,,,,,,,,,,,,,半角文字列型,,,,,11,,,,,02270,,,
11,,方式完マーク,,,,,,,,,,,,,,,,,,,,,hosikikan_mark,,,,,,,,,,,,,,,半角文字列型,,,,,1,,,,,02520,,,
12,,指令完フラグ,,,,,,,,,,,,,,,,,,,,,sireikan_flag,,,,,,,,,,,,,,,半角文字列型,,,,,1,,,,,02220,,,
13,,対応書類番号,,,,,,,,,,,,,,,,,,,,,taioshorui_no,,,,,,,,,,,,,,,半角文字列型,,,,,11,,,,,02270,,,
14,,書類種別,,,,,,,,,,,,,,,,,,,,,shorui_shubetu,,,,,,,,,,,,,,,半角文字列型,,,,,1,,,,,02260,,,
15,,バージョン番号,,,,,,,,,,,,,,,,,,,,,version_no,,,,,,,,,,,,,,,半角文字列型,,,,,4,,,,,02030,,,
16,,閲覧禁止フラグ,,,,,,,,,,,,,,,,,,,,,eturankinsi_flag,,,,,,,,,,,,,,,半角文字列型,,,,,1,,,,,02100,,,
