Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51
サブジェクトエリア名,,,,,,,,,,,,,申請人登録マスタ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ファイル名（論理名）,,,,,,,,,,,,,申請人登録情報ファイル,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ファイル名（物理名）,,,,,,,,,,,,,appl_reg_info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ファイル名,,,,,,,,,,,,,appl_reg_info.tsv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
項番,,提供項目名（論理名）,,,,,,,,,,,,,,,,,,,,,提供項目名（物理名）,,,,,,,,,,,,,"主
キー",,論理データ型,,,,,,,,,,"コード
INDEX",,,備考
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,型,,,,,最大桁数,,,,,,,,
1,,データ識別コード,,,,,,,,,,,,,,,,,,,,,data_id_cd,,,,,,,,,,,,,,,半角文字列型,,,,,6,,,,,03010,,,
2,,申請人コード,,,,,,,,,,,,,,,,,,,,,appl_cd,,,,,,,,,,,,,○,,半角文字列型,,,,,9,,,,,-,,,
3,,申請人氏名,,,,,,,,,,,,,,,,,,,,,appl_name,,,,,,,,,,,,,,,全半角文字列型,,,,,1000,,,,,-,,,
4,,申請人カナ氏名,,,,,,,,,,,,,,,,,,,,,appl_cana_name,,,,,,,,,,,,,,,全半角文字列型,,,,,1000,,,,,-,,,
5,,申請人郵便番号,,,,,,,,,,,,,,,,,,,,,appl_postcode,,,,,,,,,,,,,,,全半角文字列型,,,,,7,,,,,-,,,
6,,申請人住所,,,,,,,,,,,,,,,,,,,,,appl_addr,,,,,,,,,,,,,,,全半角文字列型,,,,,1000,,,,,-,,,
7,,欧文併記氏名,,,,,,,,,,,,,,,,,,,,,wes_join_name,,,,,,,,,,,,,,,全半角文字列型,,,,,1000,,,,,-,,,
8,,欧文併記住所,,,,,,,,,,,,,,,,,,,,,wes_join_addr,,,,,,,,,,,,,,,全半角文字列型,,,,,1000,,,,,-,,,
9,,統合申請人コード,,,,,,,,,,,,,,,,,,,,,integ_appl_cd,,,,,,,,,,,,,,,半角文字列型,,,,,9,,,,,-,,,
10,,二重登録統合管理通番,,,,,,,,,,,,,,,,,,,,,dbl_reg_integ_mgt_srl_num,,,,,,,,,,,,,,,数値型,,,,,3,,,,,03030,,,
