Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51
サブジェクトエリア名,,,,,,,,,,,,,登録マスタ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ファイル名（論理名）,,,,,,,,,,,,,管理情報ファイル(実用),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ファイル名（物理名）,,,,,,,,,,,,,mgt_info_u,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ファイル名,,,,,,,,,,,,,mgt_info_u.tsv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
項番,,提供項目名（論理名）,,,,,,,,,,,,,,,,,,,,,提供項目名（物理名）,,,,,,,,,,,,,"主
キー",,論理データ型,,,,,,,,,,"コード
INDEX",,,備考
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,型,,,,,最大桁数,,,,,,,,
1,,処理種別,,,,,,,,,,,,,,,,,,,,,processing_type,,,,,,,,,,,,,,,半角文字列型,,,,,1,,,,,05330,,,
2,,四法コード,,,,,,,,,,,,,,,,,,,,,law_cd,,,,,,,,,,,,,○,,半角文字列型,,,,,1,,,,,05080,,,
3,,登録番号,,,,,,,,,,,,,,,,,,,,,reg_num,,,,,,,,,,,,,○,,半角文字列型,,,,,7,,,,,05220,,,
4,,分割番号,,,,,,,,,,,,,,,,,,,,,split_num,,,,,,,,,,,,,○,,半角文字列型,,,,,31,,,,,05270,,,
5,,マスタ更新年月日,,,,,,,,,,,,,,,,,,,,,mstr_updt_year_month_day,,,,,,,,,,,,,,,半角文字列型,,,,,8,,,,,-,,,
6,,謄本閲覧禁止の有無,,,,,,,,,,,,,,,,,,,,,tscript_inspct_prhbt_flg,,,,,,,,,,,,,,,半角文字列型,,,,,1,,,,,05020,,,
7,,存続期間満了年月日,,,,,,,,,,,,,,,,,,,,,conti_prd_expire_ymd,,,,,,,,,,,,,,,半角文字列型,,,,,8,,,,,-,,,
8,,次期年金納付期限年月日,,,,,,,,,,,,,,,,,,,,,next_pen_pymnt_tm_lmt_ymd,,,,,,,,,,,,,,,半角文字列型,,,,,8,,,,,-,,,
9,,最終納付年分,,,,,,,,,,,,,,,,,,,,,last_pymnt_yearly,,,,,,,,,,,,,,,半角文字列型,,,,,2,,,,,-,,,
10,,持分の割合,,,,,,,,,,,,,,,,,,,,,share_rate,,,,,,,,,,,,,,,半角文字列型,,,,,10,,,,,05340,,,
11,,官民移転登録年月日,,,,,,,,,,,,,,,,,,,,,pblc_prvt_trnsfr_reg_ymd,,,,,,,,,,,,,,,半角文字列型,,,,,8,,,,,-,,,
12,,本権利抹消識別,,,,,,,,,,,,,,,,,,,,,right_ersr_id,,,,,,,,,,,,,,,半角文字列型,,,,,2,,,,,05310,,,
