Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51
サブジェクトエリア名,,,,,,,,,,,,,登録マスタ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ファイル名（論理名）,,,,,,,,,,,,,防護記事ファイル,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ファイル名（物理名）,,,,,,,,,,,,,sec_art,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ファイル名,,,,,,,,,,,,,sec_art.tsv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
項番,,提供項目名（論理名）,,,,,,,,,,,,,,,,,,,,,提供項目名（物理名）,,,,,,,,,,,,,"主
キー",,論理データ型,,,,,,,,,,"コード
INDEX",,,備考
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,型,,,,,最大桁数,,,,,,,,
1,,処理種別,,,,,,,,,,,,,,,,,,,,,processing_type,,,,,,,,,,,,,,,半角文字列型,,,,,1,,,,,05330,,,
2,,四法コード,,,,,,,,,,,,,,,,,,,,,law_cd,,,,,,,,,,,,,○,,半角文字列型,,,,,1,,,,,05080,,,
3,,登録番号,,,,,,,,,,,,,,,,,,,,,reg_num,,,,,,,,,,,,,○,,半角文字列型,,,,,7,,,,,05220,,,
4,,分割番号,,,,,,,,,,,,,,,,,,,,,split_num,,,,,,,,,,,,,○,,半角文字列型,,,,,31,,,,,05270,,,
5,,出願番号,,,,,,,,,,,,,,,,,,,,,app_num,,,,,,,,,,,,,○,,半角文字列型,,,,,10,,,,,05110,,,
6,,ＰＥ番号,,,,,,,,,,,,,,,,,,,,,pe_num,,,,,,,,,,,,,○,,半角文字列型,,,,,3,,,,,05360,,,
7,,防護記事部作成更新年月日,,,,,,,,,,,,,,,,,,,,,sec_art_upd_ymd,,,,,,,,,,,,,,,半角文字列型,,,,,8,,,,,-,,,
8,,防護出願番号,,,,,,,,,,,,,,,,,,,,,sec_app_num,,,,,,,,,,,,,,,半角文字列型,,,,,10,,,,,05110,,,
9,,防護番号,,,,,,,,,,,,,,,,,,,,,sec_num,,,,,,,,,,,,,,,半角文字列型,,,,,3,,,,,05300,,,
10,,防護仮登録の有無,,,,,,,,,,,,,,,,,,,,,sec_temp_reg_flg,,,,,,,,,,,,,,,半角文字列型,,,,,1,,,,,-,,,
11,,防護存続期間満了年月日,,,,,,,,,,,,,,,,,,,,,sec_conti_prd_expire_ymd,,,,,,,,,,,,,,,半角文字列型,,,,,8,,,,,-,,,
12,,防護抹消の有無,,,,,,,,,,,,,,,,,,,,,sec_ersr_flg,,,,,,,,,,,,,,,半角文字列型,,,,,1,,,,,-,,,
13,,防護適用法規,,,,,,,,,,,,,,,,,,,,,sec_apply_law,,,,,,,,,,,,,,,半角文字列型,,,,,1,,,,,05210,,,
14,,防護回復番号,,,,,,,,,,,,,,,,,,,,,sec_recovery_num,,,,,,,,,,,,,,,半角文字列型,,,,,10,,,,,05030,,,
15,,防護出願年月日,,,,,,,,,,,,,,,,,,,,,sec_app_year_month_day,,,,,,,,,,,,,,,半角文字列型,,,,,8,,,,,-,,,
16,,防護出願公告番号,,,,,,,,,,,,,,,,,,,,,sec_app_exam_pub_num,,,,,,,,,,,,,,,半角文字列型,,,,,10,,,,,05100,,,
17,,防護出願公告年月日,,,,,,,,,,,,,,,,,,,,,sec_app_exam_pub_ymd,,,,,,,,,,,,,,,半角文字列型,,,,,8,,,,,-,,,
18,,防護査定年月日,,,,,,,,,,,,,,,,,,,,,sec_finl_dcsn_year_month_day,,,,,,,,,,,,,,,半角文字列型,,,,,8,,,,,-,,,
19,,防護審決年月日,,,,,,,,,,,,,,,,,,,,,sec_trial_dcsn_year_month_day,,,,,,,,,,,,,,,半角文字列型,,,,,8,,,,,-,,,
20,,防護登録年月日,,,,,,,,,,,,,,,,,,,,,sec_reg_year_month_day,,,,,,,,,,,,,,,半角文字列型,,,,,8,,,,,-,,,
21,,防護書換申請番号,,,,,,,,,,,,,,,,,,,,,sec_rwrt_app_num,,,,,,,,,,,,,,,半角文字列型,,,,,10,,,,,05110,,,
22,,防護書換申請年月日,,,,,,,,,,,,,,,,,,,,,sec_rwrt_app_year_month_day,,,,,,,,,,,,,,,半角文字列型,,,,,8,,,,,-,,,
23,,防護書換査定年月日,,,,,,,,,,,,,,,,,,,,,sec_rwrt_finl_dcsn_ymd,,,,,,,,,,,,,,,半角文字列型,,,,,8,,,,,-,,,
24,,防護書換審決年月日,,,,,,,,,,,,,,,,,,,,,sec_rwrt_trial_dcsn_ymd,,,,,,,,,,,,,,,半角文字列型,,,,,8,,,,,-,,,
25,,防護書換登録年月日,,,,,,,,,,,,,,,,,,,,,sec_rwrt_reg_year_month_day,,,,,,,,,,,,,,,半角文字列型,,,,,8,,,,,-,,,
26,,ＭＵ番号,,,,,,,,,,,,,,,,,,,,,mu_num,,,,,,,,,,,,,○,,半角文字列型,,,,,3,,,,,05350,,,
27,,防護指定商品又は指定役務の区分,,,,,,,,,,,,,,,,,,,,,sec_desig_goods_desig_wrk_cls,,,,,,,,,,,,,,,半角文字列型,,,,,2,,,,,05130,,,
