Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51
サブジェクトエリア名,,,,,,,,,,,,,登録マスタ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ファイル名（論理名）,,,,,,,,,,,,,防護更新記事ファイル,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ファイル名（物理名）,,,,,,,,,,,,,sec_updt_art,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ファイル名,,,,,,,,,,,,,sec_updt_art.tsv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
項番,,提供項目名（論理名）,,,,,,,,,,,,,,,,,,,,,提供項目名（物理名）,,,,,,,,,,,,,"主
キー",,論理データ型,,,,,,,,,,"コード
INDEX",,,備考
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,型,,,,,最大桁数,,,,,,,,
1,,処理種別,,,,,,,,,,,,,,,,,,,,,processing_type,,,,,,,,,,,,,,,半角文字列型,,,,,1,,,,,05330,,,
2,,四法コード,,,,,,,,,,,,,,,,,,,,,law_cd,,,,,,,,,,,,,○,,半角文字列型,,,,,1,,,,,05080,,,
3,,登録番号,,,,,,,,,,,,,,,,,,,,,reg_num,,,,,,,,,,,,,○,,半角文字列型,,,,,7,,,,,05220,,,
4,,分割番号,,,,,,,,,,,,,,,,,,,,,split_num,,,,,,,,,,,,,○,,半角文字列型,,,,,31,,,,,05270,,,
5,,出願番号,,,,,,,,,,,,,,,,,,,,,app_num,,,,,,,,,,,,,○,,半角文字列型,,,,,10,,,,,05110,,,
6,,ＰＥ番号,,,,,,,,,,,,,,,,,,,,,pe_num,,,,,,,,,,,,,○,,半角文字列型,,,,,3,,,,,05360,,,
7,,防護更新記事部作成更新年月日,,,,,,,,,,,,,,,,,,,,,sec_updt_art_upd_ymd,,,,,,,,,,,,,,,半角文字列型,,,,,8,,,,,-,,,
8,,防護更新出願番号,,,,,,,,,,,,,,,,,,,,,sec_updt_app_num,,,,,,,,,,,,,,,半角文字列型,,,,,10,,,,,05110,,,
9,,防護更新防護番号,,,,,,,,,,,,,,,,,,,,,sec_updt_sec_num,,,,,,,,,,,,,,,半角文字列型,,,,,3,,,,,05300,,,
10,,防護更新仮登録の有無,,,,,,,,,,,,,,,,,,,,,sec_updt_temp_reg_flg,,,,,,,,,,,,,,,半角文字列型,,,,,1,,,,,-,,,
11,,防護更新名称変更の有無,,,,,,,,,,,,,,,,,,,,,sec_updt_title_chan_flg,,,,,,,,,,,,,,,半角文字列型,,,,,1,,,,,05290,,,
12,,防護更新回復番号,,,,,,,,,,,,,,,,,,,,,sec_updt_recovery_num,,,,,,,,,,,,,,,半角文字列型,,,,,10,,,,,05030,,,
13,,防護更新出願年月日,,,,,,,,,,,,,,,,,,,,,sec_updt_app_year_month_day,,,,,,,,,,,,,,,半角文字列型,,,,,8,,,,,-,,,
14,,防護更新査定年月日,,,,,,,,,,,,,,,,,,,,,sec_updt_finl_dcsn_ymd,,,,,,,,,,,,,,,半角文字列型,,,,,8,,,,,-,,,
15,,防護更新審決年月日,,,,,,,,,,,,,,,,,,,,,sec_updt_trial_dcsn_ymd,,,,,,,,,,,,,,,半角文字列型,,,,,8,,,,,-,,,
16,,防護更新登録年月日,,,,,,,,,,,,,,,,,,,,,sec_updt_reg_year_month_day,,,,,,,,,,,,,,,半角文字列型,,,,,8,,,,,-,,,
17,,ＭＵ番号,,,,,,,,,,,,,,,,,,,,,mu_num,,,,,,,,,,,,,○,,半角文字列型,,,,,3,,,,,05350,,,
