Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51
サブジェクトエリア名,,,,,,,,,,,,,登録マスタ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ファイル名（論理名）,,,,,,,,,,,,,防護商品名ファイル,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ファイル名（物理名）,,,,,,,,,,,,,sec_goods_name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ファイル名,,,,,,,,,,,,,sec_goods_name.tsv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
項番,,提供項目名（論理名）,,,,,,,,,,,,,,,,,,,,,提供項目名（物理名）,,,,,,,,,,,,,"主
キー",,論理データ型,,,,,,,,,,"コード
INDEX",,,備考
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,型,,,,,最大桁数,,,,,,,,
1,,処理種別,,,,,,,,,,,,,,,,,,,,,processing_type,,,,,,,,,,,,,,,半角文字列型,,,,,1,,,,,05330,,,
2,,四法コード,,,,,,,,,,,,,,,,,,,,,law_cd,,,,,,,,,,,,,○,,半角文字列型,,,,,1,,,,,05080,,,
3,,登録番号,,,,,,,,,,,,,,,,,,,,,reg_num,,,,,,,,,,,,,○,,半角文字列型,,,,,7,,,,,05220,,,
4,,分割番号,,,,,,,,,,,,,,,,,,,,,split_num,,,,,,,,,,,,,○,,半角文字列型,,,,,31,,,,,05270,,,
5,,防護番号,,,,,,,,,,,,,,,,,,,,,sec_num,,,,,,,,,,,,,○,,半角文字列型,,,,,3,,,,,05300,,,
6,,防護出願番号,,,,,,,,,,,,,,,,,,,,,sec_app_num,,,,,,,,,,,,,○,,半角文字列型,,,,,10,,,,,05110,,,
7,,防護指定商品又は指定役務の区分,,,,,,,,,,,,,,,,,,,,,sec_desig_goods_desig_wrk_cls,,,,,,,,,,,,,○,,半角文字列型,,,,,2,,,,,05130,,,
8,,マスタ更新年月日,,,,,,,,,,,,,,,,,,,,,mstr_updt_year_month_day,,,,,,,,,,,,,,,半角文字列型,,,,,8,,,,,-,,,
9,,防護指定商品又は指定役務名レングス,,,,,,,,,,,,,,,,,,,,,sec_desig_gds_desig_wrk_nm_len,,,,,,,,,,,,,,,半角文字列型,,,,,10,,,,,-,,,
10,,防護指定商品名又は指定役務名,,,,,,,,,,,,,,,,,,,,,sec_desig_gds_nm_desig_wrk_nm,,,,,,,,,,,,,,,全半角文字列型,,,,,12000,,,,,-,,,
