Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51
サブジェクトエリア名,,,,,,,,,,,,,引用文献マスタ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ファイル名（論理名）,,,,,,,,,,,,,国内引用文献詳細マスタファイル,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ファイル名（物理名）,,,,,,,,,,,,,intnl_citation_doc_det_mstr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ファイル名,,,,,,,,,,,,,intnl_citation_doc_det_mstr.tsv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
項番,,提供項目名（論理名）,,,,,,,,,,,,,,,,,,,,,提供項目名（物理名）,,,,,,,,,,,,,"主
キー",,論理データ型,,,,,,,,,,"コード
INDEX",,,備考
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,型,,,,,最大桁数,,,,,,,,
1,,削除フラグ,,,,,,,,,,,,,,,,,,,,,del_flg,,,,,,,,,,,,,,,半角文字列型,,,,,1,,,,,-,,,
2,,ＩＳＮ,,,,,,,,,,,,,,,,,,,,,isn,,,,,,,,,,,,,○,,半角文字列型,,,,,10,,,,,-,,,
3,,登録通番,,,,,,,,,,,,,,,,,,,,,reg_srl_num,,,,,,,,,,,,,○,,半角文字列型,,,,,15,,,,,-,,,
4,,登録通番－枝番,,,,,,,,,,,,,,,,,,,,,reg_srl_num_br_num,,,,,,,,,,,,,,,半角文字列型,,,,,3,,,,,-,,,
5,,関連ある箇所,,,,,,,,,,,,,,,,,,,,,rlt_place,,,,,,,,,,,,,,,全半角文字列型,,,,,250,,,,,-,,,
6,,カテゴリ,,,,,,,,,,,,,,,,,,,,,category,,,,,,,,,,,,,,,半角文字列型,,,,,5,,,,,-,,,
7,,請求項,,,,,,,,,,,,,,,,,,,,,claim,,,,,,,,,,,,,,,全半角文字列型,,,,,50,,,,,-,,,
