Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51
サブジェクトエリア名,,,,,,,,,,,,,引用文献マスタ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ファイル名（論理名）,,,,,,,,,,,,,非特許書誌ファイル,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ファイル名（物理名）,,,,,,,,,,,,,non_p_bib,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ファイル名,,,,,,,,,,,,,non_p_bib.tsv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
項番,,提供項目名（論理名）,,,,,,,,,,,,,,,,,,,,,提供項目名（物理名）,,,,,,,,,,,,,"主
キー",,論理データ型,,,,,,,,,,"コード
INDEX",,,備考
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,型,,,,,最大桁数,,,,,,,,
1,,削除フラグ,,,,,,,,,,,,,,,,,,,,,del_flg,,,,,,,,,,,,,,,半角文字列型,,,,,1,,,,,-,,,
2,,ＩＳＮ,,,,,,,,,,,,,,,,,,,,,isn,,,,,,,,,,,,,○,,半角文字列型,,,,,10,,,,,-,,,
3,,登録通番,,,,,,,,,,,,,,,,,,,,,reg_srl_num,,,,,,,,,,,,,○,,半角文字列型,,,,,15,,,,,-,,,
4,,文献番号,,,,,,,,,,,,,,,,,,,,,doc_num,,,,,,,,,,,,,,,半角文字列型,,,,,16,,,,,07050,,,
5,,文献分類,,,,,,,,,,,,,,,,,,,,,doc_class,,,,,,,,,,,,,,,半角文字列型,,,,,3,,,,,07060,,,
6,,著者／翻訳者名,,,,,,,,,,,,,,,,,,,,,author_translator_name,,,,,,,,,,,,,,,全半角文字列型,,,,,50,,,,,-,,,
7,,論文名／タイトル,,,,,,,,,,,,,,,,,,,,,monograph_name_title,,,,,,,,,,,,,,,全半角文字列型,,,,,50,,,,,-,,,
8,,刊行物名,,,,,,,,,,,,,,,,,,,,,publication_name,,,,,,,,,,,,,,,全半角文字列型,,,,,50,,,,,-,,,
9,,発行国コード,,,,,,,,,,,,,,,,,,,,,pub_cntry_cd,,,,,,,,,,,,,,,半角文字列型,,,,,2,,,,,07070,,,
10,,発行所／発行者,,,,,,,,,,,,,,,,,,,,,pub_office_publisher,,,,,,,,,,,,,,,全半角文字列型,,,,,25,,,,,-,,,
11,,発行／受入年月日,,,,,,,,,,,,,,,,,,,,,pub_acpt_year_month_day,,,,,,,,,,,,,,,半角文字列型,,,,,8,,,,,-,,,
12,,年月日フラグ,,,,,,,,,,,,,,,,,,,,,year_month_day_flg,,,,,,,,,,,,,,,半角文字列型,,,,,1,,,,,07080,,,
13,,版数／巻／号数,,,,,,,,,,,,,,,,,,,,,ver_num_vol_issu_cnt,,,,,,,,,,,,,,,全半角文字列型,,,,,20,,,,,-,,,
14,,引用頁,,,,,,,,,,,,,,,,,,,,,citation_page,,,,,,,,,,,,,,,全半角文字列型,,,,,20,,,,,-,,,
15,,コード区分,,,,,,,,,,,,,,,,,,,,,cd_class,,,,,,,,,,,,,,,半角文字列型,,,,,3,,,,,-,,,
16,,CＳ番号／商用番号／ＵＲＬ,,,,,,,,,,,,,,,,,,,,,cs_num_business_num_url,,,,,,,,,,,,,,,全半角文字列型,,,,,125,,,,,-,,,
