Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51
サブジェクトエリア名,,,,,,,,,,,,,IPCマスタ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ファイル名（論理名）,,,,,,,,,,,,,送付済ＩＰＣファイル,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ファイル名（物理名）,,,,,,,,,,,,,dsptch_fin_ipc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ファイル名,,,,,,,,,,,,,dsptch_fin_ipc.tsv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
項番,,提供項目名（論理名）,,,,,,,,,,,,,,,,,,,,,提供項目名（物理名）,,,,,,,,,,,,,"主
キー",,論理データ型,,,,,,,,,,"コード
INDEX",,,備考
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,型,,,,,最大桁数,,,,,,,,
1,,削除フラグ,,,,,,,,,,,,,,,,,,,,,del_flg,,,,,,,,,,,,,,,半角文字列型,,,,,1,,,,,-,,,
2,,文献キー番号,,,,,,,,,,,,,,,,,,,,,doc_key_num,,,,,,,,,,,,,○,,半角文字列型,,,,,16,,,,,08010,,,
3,,ＩＰＣ発行日,,,,,,,,,,,,,,,,,,,,,ipc_pub_dt,,,,,,,,,,,,,○,,半角文字列型,,,,,8,,,,,-,,,
4,,分類の区分,,,,,,,,,,,,,,,,,,,,,class_class,,,,,,,,,,,,,○,,半角文字列型,,,,,1,,,,,-,,,ＩＰＣのレベルを表す（Ａ：アドバンスレベル）
5,,ＩＰＣ,,,,,,,,,,,,,,,,,,,,,ipc,,,,,,,,,,,,,○,,半角文字列型,,,,,15,,,,,-,,,公報発行時のＩＰＣ
6,,第1分類フラグ,,,,,,,,,,,,,,,,,,,,,first_class_flg,,,,,,,,,,,,,,,半角文字列型,,,,,1,,,,,08030,,,
7,,発明／付加フラグ,,,,,,,,,,,,,,,,,,,,,invent_add_flg,,,,,,,,,,,,,,,半角文字列型,,,,,1,,,,,08040,,,
8,,分類付与日,,,,,,,,,,,,,,,,,,,,,class_assgn_dt,,,,,,,,,,,,,,,半角文字列型,,,,,8,,,,,-,,,
9,,分類付与庁,,,,,,,,,,,,,,,,,,,,,class_assgn_office,,,,,,,,,,,,,,,半角文字列型,,,,,2,,,,,-,,,ＩＰＣを付与した国コード（ＪＰ：日本）
10,,付与起因,,,,,,,,,,,,,,,,,,,,,assgn_cause,,,,,,,,,,,,,,,半角文字列型,,,,,1,,,,,08050,,,
11,,付与方法,,,,,,,,,,,,,,,,,,,,,assgn_method,,,,,,,,,,,,,,,半角文字列型,,,,,1,,,,,-,,,ＩＰＣを付与した方法（Ｈ：人による解析）
12,,更新日,,,,,,,,,,,,,,,,,,,,,updt_dt,,,,,,,,,,,,,,,半角文字列型,,,,,8,,,,,-,,,
13,,送付日,,,,,,,,,,,,,,,,,,,,,dsptch_dt,,,,,,,,,,,,,,,半角文字列型,,,,,8,,,,,-,,,
14,,削除日,,,,,,,,,,,,,,,,,,,,,del_dt,,,,,,,,,,,,,,,半角文字列型,,,,,8,,,,,-,,,
