Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51
サブジェクトエリア名,,,,,,,,,,,,,商標基本マスタ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ファイル名（論理名）,,,,,,,,,,,,,商標基本項目記事ファイル,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ファイル名（物理名）,,,,,,,,,,,,,t_basic_item_art,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ファイル名,,,,,,,,,,,,,t_basic_item_art.tsv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
項番,,提供項目名（論理名）,,,,,,,,,,,,,,,,,,,,,提供項目名（物理名）,,,,,,,,,,,,,"主
キー",,論理データ型,,,,,,,,,,"コード
INDEX",,,備考
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,型,,,,,最大桁数,,,,,,,,
1,,追加削除識別,,,,,,,,,,,,,,,,,,,,,add_del_id,,,,,,,,,,,,,,,半角文字列型,,,,,1,,,,,12280,,,
2,,管理番号,,,,,,,,,,,,,,,,,,,,,mgt_num,,,,,,,,,,,,,○,,数値型,,,,,10,,,,,12290,,,
3,,レコード状態識別,,,,,,,,,,,,,,,,,,,,,rec_status_id,,,,,,,,,,,,,,,半角文字列型,,,,,1,,,,,12030,,,
4,,出願番号,,,,,,,,,,,,,,,,,,,,,app_num,,,,,,,,,,,,,,,半角文字列型,,,,,10,,,,,12160,,,
5,,登録番号,,,,,,,,,,,,,,,,,,,,,reg_num,,,,,,,,,,,,,,,半角文字列型,,,,,7,,,,,12210,,,
6,,分割番号,,,,,,,,,,,,,,,,,,,,,split_num,,,,,,,,,,,,,,,半角文字列型,,,,,31,,,,,12240,,,
7,,防護番号,,,,,,,,,,,,,,,,,,,,,sec_num,,,,,,,,,,,,,,,半角文字列型,,,,,3,,,,,-,,,
8,,出願種別防護,,,,,,,,,,,,,,,,,,,,,app_typ_sec,,,,,,,,,,,,,,,半角文字列型,,,,,1,,,,,12140,,,
9,,出願種別分割,,,,,,,,,,,,,,,,,,,,,app_typ_split,,,,,,,,,,,,,,,半角文字列型,,,,,1,,,,,12110,,,
10,,出願種別補却,,,,,,,,,,,,,,,,,,,,,app_typ_complement_rjct,,,,,,,,,,,,,,,半角文字列型,,,,,1,,,,,12130,,,
11,,出願種別変更,,,,,,,,,,,,,,,,,,,,,app_typ_chan,,,,,,,,,,,,,,,半角文字列型,,,,,1,,,,,12120,,,
12,,出願種別優先,,,,,,,,,,,,,,,,,,,,,app_typ_priorty,,,,,,,,,,,,,,,半角文字列型,,,,,1,,,,,12150,,,
13,,出願種別団体,,,,,,,,,,,,,,,,,,,,,app_typ_group,,,,,,,,,,,,,,,半角文字列型,,,,,1,,,,,12090,,,
14,,出願種別地域団体,,,,,,,,,,,,,,,,,,,,,app_typ_area_group,,,,,,,,,,,,,,,半角文字列型,,,,,1,,,,,12100,,,
15,,出願日,,,,,,,,,,,,,,,,,,,,,app_dt,,,,,,,,,,,,,,,半角文字列型,,,,,8,,,,,-,,,
16,,先願権発生日,,,,,,,,,,,,,,,,,,,,,prior_app_right_occr_dt,,,,,,,,,,,,,,,半角文字列型,,,,,8,,,,,-,,,
17,,拒絶査定発送日,,,,,,,,,,,,,,,,,,,,,rjct_finl_dcsn_dsptch_dt,,,,,,,,,,,,,,,半角文字列型,,,,,8,,,,,-,,,
18,,最終処分コード,,,,,,,,,,,,,,,,,,,,,final_dspst_cd,,,,,,,,,,,,,,,半角文字列型,,,,,3,,,,,12070,,,
19,,最終処分日,,,,,,,,,,,,,,,,,,,,,final_dspst_dt,,,,,,,,,,,,,,,半角文字列型,,,,,8,,,,,-,,,
20,,書換申請番号,,,,,,,,,,,,,,,,,,,,,rwrt_app_num,,,,,,,,,,,,,,,半角文字列型,,,,,10,,,,,-,,,
21,,旧法類,,,,,,,,,,,,,,,,,,,,,old_law,,,,,,,,,,,,,,,半角文字列型,,,,,2,,,,,12170,,,
22,,版コード,,,,,,,,,,,,,,,,,,,,,ver_num,,,,,,,,,,,,,,,半角文字列型,,,,,2,,,,,12230,,,
23,,国際登録番号,,,,,,,,,,,,,,,,,,,,,intl_reg_num,,,,,,,,,,,,,,,半角文字列型,,,,,7,,,,,12060,,,
24,,国際登録分割番号,,,,,,,,,,,,,,,,,,,,,intl_reg_split_num,,,,,,,,,,,,,,,半角文字列型,,,,,1,,,,,-,,,
25,,国際登録日,,,,,,,,,,,,,,,,,,,,,intl_reg_dt,,,,,,,,,,,,,,,半角文字列型,,,,,8,,,,,-,,,
26,,レコード最新更新日,,,,,,,,,,,,,,,,,,,,,rec_latest_updt_dt,,,,,,,,,,,,,,,半角文字列型,,,,,8,,,,,-,,,
27,,存続期間満了日,,,,,,,,,,,,,,,,,,,,,conti_prd_expire_dt,,,,,,,,,,,,,,,半角文字列型,,,,,8,,,,,-,,,
28,,分納満了日／事後指定日,,,,,,,,,,,,,,,,,,,,,instllmnt_expr_dt_aft_des_dt,,,,,,,,,,,,,,,半角文字列型,,,,,8,,,,,-,,,
29,,分納識別,,,,,,,,,,,,,,,,,,,,,installments_id,,,,,,,,,,,,,,,半角文字列型,,,,,1,,,,,12250,,,
30,,設定登録日,,,,,,,,,,,,,,,,,,,,,set_reg_dt,,,,,,,,,,,,,,,半角文字列型,,,,,8,,,,,-,,,
