Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51
サブジェクトエリア名,,,,,,,,,,,,,マドプロ出願マスタ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ファイル名（論理名）,,,,,,,,,,,,,指定国官庁マスタ_主管理ファイル（出願）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ファイル名（物理名）,,,,,,,,,,,,,dsgn_gvrnmnt_main_mgt_app,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ファイル名,,,,,,,,,,,,,dsgn_gvrnmnt_main_mgt_app.tsv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
項番,,提供項目名（論理名）,,,,,,,,,,,,,,,,,,,,,提供項目名（物理名）,,,,,,,,,,,,,"主
キー",,論理データ型,,,,,,,,,,"コード
INDEX",,,備考
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,型,,,,,最大桁数,,,,,,,,
1,,追加削除識別,,,,,,,,,,,,,,,,,,,,,add_del_id,,,,,,,,,,,,,,,半角文字列型,,,,,1,,,,,13140,,,
2,,庁内整理番号,,,,,,,,,,,,,,,,,,,,,jpo_rfr_num,,,,,,,,,,,,,○,,半角文字列型,,,,,10,,,,,13100,,,庁内整理番号の「西暦年＋連番」
3,,庁内整理番号分割記号コード,,,,,,,,,,,,,,,,,,,,,jpo_rfr_num_split_sign_cd,,,,,,,,,,,,,○,,半角文字列型,,,,,1,,,,,13120,,,
4,,国際登録番号更新回数記号コード,,,,,,,,,,,,,,,,,,,,,intl_reg_num_updt_cnt_sign_cd,,,,,,,,,,,,,,,半角文字列型,,,,,2,,,,,13040,,,
5,,国際登録番号,,,,,,,,,,,,,,,,,,,,,intl_reg_num,,,,,,,,,,,,,,,半角文字列型,,,,,7,,,,,13030,,,国際登録番号の「連番」
6,,国際番号分割記号コード,,,,,,,,,,,,,,,,,,,,,intl_num_split_sign_cd,,,,,,,,,,,,,,,半角文字列型,,,,,1,,,,,13120,,,
7,,公式通知年月日,,,,,,,,,,,,,,,,,,,,,formal_ntc_year_month_day,,,,,,,,,,,,,,,半角文字列型,,,,,8,,,,,-,,,
8,,国際登録年月日,,,,,,,,,,,,,,,,,,,,,intl_reg_year_month_day,,,,,,,,,,,,,,,半角文字列型,,,,,8,,,,,-,,,
9,,事後指定年月日,,,,,,,,,,,,,,,,,,,,,aft_desig_year_month_day,,,,,,,,,,,,,,,半角文字列型,,,,,8,,,,,-,,,
10,,審査最終処分コード,,,,,,,,,,,,,,,,,,,,,exam_final_dspst_cd,,,,,,,,,,,,,,,半角文字列型,,,,,2,,,,,13090,,,
11,,審査最終処分年月日,,,,,,,,,,,,,,,,,,,,,exam_final_dspst_ymd,,,,,,,,,,,,,,,半角文字列型,,,,,8,,,,,-,,,
12,,登録最終処分コード,,,,,,,,,,,,,,,,,,,,,reg_final_dspst_cd,,,,,,,,,,,,,,,半角文字列型,,,,,2,,,,,13110,,,
13,,登録最終処分年月日,,,,,,,,,,,,,,,,,,,,,reg_final_dspst_year_month_day,,,,,,,,,,,,,,,半角文字列型,,,,,8,,,,,-,,,
14,,本国官庁コード,,,,,,,,,,,,,,,,,,,,,home_cntry_gvrnmnt_cd,,,,,,,,,,,,,,,半角文字列型,,,,,2,,,,,13010,,,
15,,変更先出願番号,,,,,,,,,,,,,,,,,,,,,chan_dstnt_app_num,,,,,,,,,,,,,,,半角文字列型,,,,,10,,,,,13060,,,
16,,指定国コード,,,,,,,,,,,,,,,,,,,,,design_state_cd,,,,,,,,,,,,,,,全半角文字列型,,,,,140,,,,,13010,,,
17,,審査官コード,,,,,,,,,,,,,,,,,,,,,examiner_cd,,,,,,,,,,,,,,,半角文字列型,,,,,8,,,,,13080,,,
18,,確定フラグ,,,,,,,,,,,,,,,,,,,,,define_flg,,,,,,,,,,,,,○,,半角文字列型,,,,,1,,,,,13020,,,
19,,更新年月日,,,,,,,,,,,,,,,,,,,,,updt_year_month_day,,,,,,,,,,,,,,,半角文字列型,,,,,8,,,,,-,,,システム操作者による更新年月日
20,,バッチ更新年月日,,,,,,,,,,,,,,,,,,,,,batch_updt_year_month_day,,,,,,,,,,,,,,,半角文字列型,,,,,8,,,,,-,,,バッチプログラムによる更新年月日
