Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51
サブジェクトエリア名,,,,,,,,,,,,,マドプロ原簿マスタ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ファイル名（論理名）,,,,,,,,,,,,,指定国官庁マスタ_主管理ファイル（原簿）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ファイル名（物理名）,,,,,,,,,,,,,dsgn_gvrnmnt_main_mgt_reg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ファイル名,,,,,,,,,,,,,dsgn_gvrnmnt_main_mgt_reg.tsv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
備考,,,,,,,,,,,,,"当該ファイルにおいてレコード中の項番4,5,6,7に値が存在する場合、国際商標登録原簿マスタ_原簿管理情報ファイルにおいて同一案件のレコード中の項番6,9,10,11に値は存在しない。",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
項番,,提供項目名（論理名）,,,,,,,,,,,,,,,,,,,,,提供項目名（物理名）,,,,,,,,,,,,,"主
キー",,論理データ型,,,,,,,,,,"コード
INDEX",,,備考
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,型,,,,,最大桁数,,,,,,,,
1,,追加削除識別,,,,,,,,,,,,,,,,,,,,,add_del_id,,,,,,,,,,,,,,,半角文字列型,,,,,1,,,,,14120,,,
2,,庁内整理番号,,,,,,,,,,,,,,,,,,,,,jpo_rfr_num,,,,,,,,,,,,,○,,半角文字列型,,,,,10,,,,,14080,,,庁内整理番号の「西暦年＋連番」
3,,庁内整理番号分割記号コード,,,,,,,,,,,,,,,,,,,,,jpo_rfr_num_split_sign_cd,,,,,,,,,,,,,○,,半角文字列型,,,,,1,,,,,14100,,,
4,,国際登録年月日,,,,,,,,,,,,,,,,,,,,,intl_reg_year_month_day,,,,,,,,,,,,,,,半角文字列型,,,,,8,,,,,-,,,
5,,審査最終処分年月日,,,,,,,,,,,,,,,,,,,,,exam_final_dspst_ymd,,,,,,,,,,,,,,,半角文字列型,,,,,8,,,,,-,,,
6,,登録最終処分コード,,,,,,,,,,,,,,,,,,,,,reg_final_dspst_cd,,,,,,,,,,,,,,,半角文字列型,,,,,2,,,,,14090,,,
7,,登録最終処分年月日,,,,,,,,,,,,,,,,,,,,,reg_final_dspst_year_month_day,,,,,,,,,,,,,,,半角文字列型,,,,,8,,,,,-,,,
8,,確定フラグ,,,,,,,,,,,,,,,,,,,,,define_flg,,,,,,,,,,,,,○,,半角文字列型,,,,,1,,,,,14010,,,
9,,更新年月日,,,,,,,,,,,,,,,,,,,,,updt_year_month_day,,,,,,,,,,,,,,,半角文字列型,,,,,8,,,,,-,,,システム操作者による更新年月日
10,,バッチ更新年月日,,,,,,,,,,,,,,,,,,,,,batch_updt_year_month_day,,,,,,,,,,,,,,,半角文字列型,,,,,8,,,,,-,,,バッチプログラムによる更新年月日
