Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51
サブジェクトエリア名,,,,,,,,,,,,,マドプロ出願/原簿マスタ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ファイル名（論理名）,,,,,,,,,,,,,指定国官庁マスタ_マークファイル,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ファイル名（物理名）,,,,,,,,,,,,,design_state_gvrnmnt_mstr_mk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ファイル名,,,,,,,,,,,,,design_state_gvrnmnt_mstr_mk.tsv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
項番,,提供項目名（論理名）,,,,,,,,,,,,,,,,,,,,,提供項目名（物理名）,,,,,,,,,,,,,"主
キー",,論理データ型,,,,,,,,,,"コード
INDEX",,,備考
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,型,,,,,最大桁数,,,,,,,,
1,,追加削除識別,,,,,,,,,,,,,,,,,,,,,add_del_id,,,,,,,,,,,,,,,半角文字列型,,,,,1,,,,,15560,,,
2,,庁内整理番号,,,,,,,,,,,,,,,,,,,,,jpo_rfr_num,,,,,,,,,,,,,○,,半角文字列型,,,,,10,,,,,15390,,,庁内整理番号の「西暦年＋連番」
3,,庁内整理番号分割記号コード,,,,,,,,,,,,,,,,,,,,,jpo_rfr_num_split_sign_cd,,,,,,,,,,,,,○,,半角文字列型,,,,,1,,,,,15440,,,
4,,履歴番号,,,,,,,,,,,,,,,,,,,,,history_num,,,,,,,,,,,,,○,,半角文字列型,,,,,4,,,,,15530,,,
5,,標準文字宣言フラグ,,,,,,,,,,,,,,,,,,,,,standard_char_declarat_flg,,,,,,,,,,,,,,,半角文字列型,,,,,1,,,,,15420,,,
6,,色彩主張内容,,,,,,,,,,,,,,,,,,,,,color_clim_detail,,,,,,,,,,,,,,,全半角文字列型,,,,,4000,,,,,-,,,
7,,色彩主張内容の和訳,,,,,,,,,,,,,,,,,,,,,color_clim_detail_japanese,,,,,,,,,,,,,,,全半角文字列型,,,,,4000,,,,,-,,,
8,,標章音訳内容,,,,,,,,,,,,,,,,,,,,,emblem_transliterat_detail,,,,,,,,,,,,,,,全半角文字列型,,,,,4000,,,,,-,,,
9,,立体標章フラグ,,,,,,,,,,,,,,,,,,,,,three_dmns_emblem_flg,,,,,,,,,,,,,,,半角文字列型,,,,,1,,,,,15540,,,
10,,音商標フラグ,,,,,,,,,,,,,,,,,,,,,sound_t_flg,,,,,,,,,,,,,,,半角文字列型,,,,,1,,,,,15040,,,
11,,団体証明保証フラグ,,,,,,,,,,,,,,,,,,,,,group_cert_warranty_flg,,,,,,,,,,,,,,,半角文字列型,,,,,1,,,,,15360,,,
12,,標章記述内容,,,,,,,,,,,,,,,,,,,,,emblem_doc_detail,,,,,,,,,,,,,,,全半角文字列型,,,,,4000,,,,,-,,,
13,,標章記述内容の和訳,,,,,,,,,,,,,,,,,,,,,emblem_doc_detail_japanese,,,,,,,,,,,,,,,全半角文字列型,,,,,4000,,,,,-,,,
14,,ウィーン分類,,,,,,,,,,,,,,,,,,,,,vienna_class,,,,,,,,,,,,,,,全半角文字列型,,,,,140,,,,,15010,,,
15,,審査３条２項有無フラグ,,,,,,,,,,,,,,,,,,,,,exam_art_03_prgrph_02_flg,,,,,,,,,,,,,,,半角文字列型,,,,,1,,,,,15250,,,
16,,審査色彩の但し書適用フラグ,,,,,,,,,,,,,,,,,,,,,exam_color_proviso_apply_flg,,,,,,,,,,,,,,,半角文字列型,,,,,1,,,,,15280,,,
17,,審査９条１項有無フラグ,,,,,,,,,,,,,,,,,,,,,exam_art_09_prgrph_01_flg,,,,,,,,,,,,,,,半角文字列型,,,,,1,,,,,15260,,,
18,,早期審査区分,,,,,,,,,,,,,,,,,,,,,acclrtd_exam_class,,,,,,,,,,,,,,,半角文字列型,,,,,1,,,,,15320,,,
19,,確定フラグ,,,,,,,,,,,,,,,,,,,,,define_flg,,,,,,,,,,,,,○,,半角文字列型,,,,,1,,,,,15070,,,
20,,更新年月日,,,,,,,,,,,,,,,,,,,,,updt_year_month_day,,,,,,,,,,,,,,,半角文字列型,,,,,8,,,,,-,,,システム操作者による更新年月日
21,,バッチ更新年月日,,,,,,,,,,,,,,,,,,,,,batch_updt_year_month_day,,,,,,,,,,,,,,,半角文字列型,,,,,8,,,,,-,,,バッチプログラムによる更新年月日
22,,特殊商標のタイプ,,,,,,,,,,,,,,,,,,,,,special_t_typ,,,,,,,,,,,,,,,半角文字列型,,,,,1,,,,,15400,,,
23,,商標の詳細な説明,,,,,,,,,,,,,,,,,,,,,t_dtl_explntn,,,,,,,,,,,,,,,全半角文字列型,,,,,4000,,,,,-,,,
24,,商標の詳細な説明の和訳,,,,,,,,,,,,,,,,,,,,,t_dtl_explntn_japanese,,,,,,,,,,,,,,,全半角文字列型,,,,,4000,,,,,-,,,
25,,詳細な説明の書類提出日,,,,,,,,,,,,,,,,,,,,,dtl_explntn_doc_submt_dt,,,,,,,,,,,,,,,半角文字列型,,,,,8,,,,,-,,,
26,,色彩のチェックボックス,,,,,,,,,,,,,,,,,,,,,color_chk_box,,,,,,,,,,,,,,,半角文字列型,,,,,1,,,,,15240,,,
27,,ディスクレーマー,,,,,,,,,,,,,,,,,,,,,disclaimer,,,,,,,,,,,,,,,全半角文字列型,,,,,4000,,,,,-,,,
28,,任意標章記述内容,,,,,,,,,,,,,,,,,,,,,opt_emblem_doc_detail,,,,,,,,,,,,,,,全半角文字列型,,,,,4000,,,,,-,,,
29,,任意標章記述内容の和訳,,,,,,,,,,,,,,,,,,,,,opt_emblem_doc_detail_jp,,,,,,,,,,,,,,,全半角文字列型,,,,,4000,,,,,-,,,
