Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51
サブジェクトエリア名,,,,,,,,,,,,,マドプロ出願/原簿マスタ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ファイル名（論理名）,,,,,,,,,,,,,指定国官庁マスタ_審判情報ファイル,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ファイル名（物理名）,,,,,,,,,,,,,dsgn_gvrnmnt_appl_info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ファイル名,,,,,,,,,,,,,dsgn_gvrnmnt_appl_info.tsv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
項番,,提供項目名（論理名）,,,,,,,,,,,,,,,,,,,,,提供項目名（物理名）,,,,,,,,,,,,,"主
キー",,論理データ型,,,,,,,,,,"コード
INDEX",,,備考
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,型,,,,,最大桁数,,,,,,,,
1,,追加削除識別,,,,,,,,,,,,,,,,,,,,,add_del_id,,,,,,,,,,,,,,,半角文字列型,,,,,1,,,,,15560,,,
2,,庁内整理番号,,,,,,,,,,,,,,,,,,,,,jpo_rfr_num,,,,,,,,,,,,,○,,半角文字列型,,,,,10,,,,,15390,,,庁内整理番号の「西暦年＋連番」
3,,庁内整理番号分割記号コード,,,,,,,,,,,,,,,,,,,,,jpo_rfr_num_split_sign_cd,,,,,,,,,,,,,○,,半角文字列型,,,,,1,,,,,15440,,,
4,,審判情報識別番号,,,,,,,,,,,,,,,,,,,,,appl_info_id,,,,,,,,,,,,,○,,数値型,,,,,4,,,,,-,,,
5,,審判種別,,,,,,,,,,,,,,,,,,,,,appl_typ,,,,,,,,,,,,,,,半角文字列型,,,,,3,,,,,15290,,,
6,,審判番号,,,,,,,,,,,,,,,,,,,,,appl_num,,,,,,,,,,,,,,,半角文字列型,,,,,10,,,,,15300,,,
7,,審判請求年月日,,,,,,,,,,,,,,,,,,,,,appl_clim_year_month_day,,,,,,,,,,,,,,,半角文字列型,,,,,8,,,,,-,,,
8,,審判最終処分,,,,,,,,,,,,,,,,,,,,,appl_final_dspst,,,,,,,,,,,,,,,半角文字列型,,,,,2,,,,,15150,,,
9,,審決年月日,,,,,,,,,,,,,,,,,,,,,trial_dcsn_year_month_day,,,,,,,,,,,,,,,半角文字列型,,,,,8,,,,,-,,,
10,,審決確定年月日,,,,,,,,,,,,,,,,,,,,,trial_dcsn_define_ymd,,,,,,,,,,,,,,,半角文字列型,,,,,8,,,,,-,,,
11,,確定フラグ,,,,,,,,,,,,,,,,,,,,,define_flg,,,,,,,,,,,,,○,,半角文字列型,,,,,1,,,,,15070,,,
12,,更新年月日,,,,,,,,,,,,,,,,,,,,,updt_year_month_day,,,,,,,,,,,,,,,半角文字列型,,,,,8,,,,,-,,,システム操作者による更新年月日
13,,バッチ更新年月日,,,,,,,,,,,,,,,,,,,,,batch_updt_year_month_day,,,,,,,,,,,,,,,半角文字列型,,,,,8,,,,,-,,,バッチプログラムによる更新年月日
