Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51
サブジェクトエリア名,,,,,,,,,,,,,マドプロ出願/原簿マスタ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ファイル名（論理名）,,,,,,,,,,,,,国際商標登録原簿マスタ_指定国商品・サービスファイル,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ファイル名（物理名）,,,,,,,,,,,,,intl_t_org_dsgn_gds_srvc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ファイル名,,,,,,,,,,,,,intl_t_org_dsgn_gds_srvc.tsv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
備考,,,,,,,,,,,,,当該ファイルにレコードが存在する場合、指定国官庁マスタ_指定国商品・サービスファイル（原簿）、指定国官庁マスタ_最新商品・サービスファイル及び国際商標登録原簿マスタ_設定時指定国商品・サービスファイルに同一案件のレコードは存在しない。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
項番,,提供項目名（論理名）,,,,,,,,,,,,,,,,,,,,,提供項目名（物理名）,,,,,,,,,,,,,"主
キー",,論理データ型,,,,,,,,,,"コード
INDEX",,,備考
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,型,,,,,最大桁数,,,,,,,,
1,,追加削除識別,,,,,,,,,,,,,,,,,,,,,add_del_id,,,,,,,,,,,,,,,半角文字列型,,,,,1,,,,,15560,,,
2,,国際登録番号,,,,,,,,,,,,,,,,,,,,,intl_reg_num,,,,,,,,,,,,,○,,半角文字列型,,,,,7,,,,,15120,,,国際登録番号の「連番」
3,,国際登録番号更新回数記号コード,,,,,,,,,,,,,,,,,,,,,intl_reg_num_updt_cnt_sign_cd,,,,,,,,,,,,,○,,半角文字列型,,,,,2,,,,,15130,,,
4,,国際登録番号分割記号コード,,,,,,,,,,,,,,,,,,,,,intl_reg_num_split_sign_cd,,,,,,,,,,,,,○,,半角文字列型,,,,,1,,,,,15440,,,
5,,事後指定年月日,,,,,,,,,,,,,,,,,,,,,aft_desig_year_month_day,,,,,,,,,,,,,○,,半角文字列型,,,,,8,,,,,-,,,
6,,表示順序,,,,,,,,,,,,,,,,,,,,,indct_seq,,,,,,,,,,,,,○,,半角文字列型,,,,,4,,,,,15430,,,
7,,順序番号,,,,,,,,,,,,,,,,,,,,,seq_num,,,,,,,,,,,,,○,,数値型,,,,,4,,,,,15210,,,
8,,仮・本登録識別フラグ,,,,,,,,,,,,,,,,,,,,,temp_principal_reg_id_flg,,,,,,,,,,,,,○,,半角文字列型,,,,,1,,,,,15050,,,
9,,区分,,,,,,,,,,,,,,,,,,,,,madopro_class,,,,,,,,,,,,,,,半角文字列型,,,,,2,,,,,15220,,,
10,,商品サービス名,,,,,,,,,,,,,,,,,,,,,goods_service_name,,,,,,,,,,,,,,,全半角文字列型,,,,,8000,,,,,-,,,
11,,国際登録記録日,,,,,,,,,,,,,,,,,,,,,intl_reg_rec_dt,,,,,,,,,,,,,,,半角文字列型,,,,,8,,,,,-,,,
12,,確定フラグ,,,,,,,,,,,,,,,,,,,,,define_flg,,,,,,,,,,,,,○,,半角文字列型,,,,,1,,,,,15070,,,
13,,更新年月日,,,,,,,,,,,,,,,,,,,,,updt_year_month_day,,,,,,,,,,,,,,,半角文字列型,,,,,8,,,,,-,,,システム操作者による更新年月日
14,,バッチ更新年月日,,,,,,,,,,,,,,,,,,,,,batch_updt_year_month_day,,,,,,,,,,,,,,,半角文字列型,,,,,8,,,,,-,,,バッチプログラムによる更新年月日
