Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51
サブジェクトエリア名,,,,,,,,,,,,,マドプロ出願/原簿マスタ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ファイル名（論理名）,,,,,,,,,,,,,国際商標登録原簿マスタ_重複番号情報ファイル,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ファイル名（物理名）,,,,,,,,,,,,,intl_t_org_dplct_num_info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ファイル名,,,,,,,,,,,,,intl_t_org_dplct_num_info.tsv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
項番,,提供項目名（論理名）,,,,,,,,,,,,,,,,,,,,,提供項目名（物理名）,,,,,,,,,,,,,"主
キー",,論理データ型,,,,,,,,,,"コード
INDEX",,,備考
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,型,,,,,最大桁数,,,,,,,,
1,,追加削除識別,,,,,,,,,,,,,,,,,,,,,add_del_id,,,,,,,,,,,,,,,半角文字列型,,,,,1,,,,,15560,,,
2,,国際登録番号,,,,,,,,,,,,,,,,,,,,,intl_reg_num,,,,,,,,,,,,,○,,半角文字列型,,,,,7,,,,,15120,,,国際登録番号の「連番」
3,,国際登録番号更新回数記号コード,,,,,,,,,,,,,,,,,,,,,intl_reg_num_updt_cnt_sign_cd,,,,,,,,,,,,,○,,半角文字列型,,,,,2,,,,,15130,,,
4,,国際登録番号分割記号コード,,,,,,,,,,,,,,,,,,,,,intl_reg_num_split_sign_cd,,,,,,,,,,,,,○,,半角文字列型,,,,,1,,,,,15440,,,
5,,事後指定年月日,,,,,,,,,,,,,,,,,,,,,aft_desig_year_month_day,,,,,,,,,,,,,○,,半角文字列型,,,,,8,,,,,-,,,
6,,仮・本登録識別フラグ,,,,,,,,,,,,,,,,,,,,,temp_principal_reg_id_flg,,,,,,,,,,,,,○,,半角文字列型,,,,,1,,,,,15050,,,
7,,表示順序,,,,,,,,,,,,,,,,,,,,,indct_seq,,,,,,,,,,,,,○,,半角文字列型,,,,,4,,,,,15430,,,
8,,重複番号識別番号,,,,,,,,,,,,,,,,,,,,,duplicate_num_id,,,,,,,,,,,,,○,,数値型,,,,,4,,,,,15200,,,
9,,重複庁内整理番号,,,,,,,,,,,,,,,,,,,,,duplicate_jpo_rfr_num,,,,,,,,,,,,,,,半角文字列型,,,,,10,,,,,15180,,,庁内整理番号の「西暦年＋連番」
10,,重複庁内整理番号分割記号コード,,,,,,,,,,,,,,,,,,,,,dpl_jpo_rfr_no_spl_sign_cd,,,,,,,,,,,,,,,半角文字列型,,,,,1,,,,,15440,,,
11,,重複国際登録番号更新回数記号コード,,,,,,,,,,,,,,,,,,,,,dpl_intl_reg_no_updt_cnt_cd,,,,,,,,,,,,,,,半角文字列型,,,,,2,,,,,15130,,,
12,,重複国際登録番号,,,,,,,,,,,,,,,,,,,,,duplicate_intl_reg_num,,,,,,,,,,,,,,,半角文字列型,,,,,7,,,,,15160,,,重複国際登録番号の「連番」
13,,重複国際番号分割記号コード,,,,,,,,,,,,,,,,,,,,,dpl_intl_no_split_sign_cd,,,,,,,,,,,,,,,半角文字列型,,,,,1,,,,,15440,,,
14,,重複事後指定日,,,,,,,,,,,,,,,,,,,,,duplicate_aft_desig_dt,,,,,,,,,,,,,,,半角文字列型,,,,,8,,,,,-,,,
15,,重複出願番号,,,,,,,,,,,,,,,,,,,,,duplicate_app_num,,,,,,,,,,,,,,,半角文字列型,,,,,10,,,,,15170,,,
16,,重複登録番号,,,,,,,,,,,,,,,,,,,,,duplicate_reg_num,,,,,,,,,,,,,,,半角文字列型,,,,,7,,,,,15190,,,重複登録番号の「登録番号」
17,,重複登録分割番号,,,,,,,,,,,,,,,,,,,,,duplicate_reg_split_num,,,,,,,,,,,,,,,半角文字列型,,,,,31,,,,,15450,,,
18,,確定フラグ,,,,,,,,,,,,,,,,,,,,,define_flg,,,,,,,,,,,,,○,,半角文字列型,,,,,1,,,,,15070,,,
19,,更新年月日,,,,,,,,,,,,,,,,,,,,,updt_year_month_day,,,,,,,,,,,,,,,半角文字列型,,,,,8,,,,,-,,,システム操作者による更新年月日
20,,バッチ更新年月日,,,,,,,,,,,,,,,,,,,,,batch_updt_year_month_day,,,,,,,,,,,,,,,半角文字列型,,,,,8,,,,,-,,,バッチプログラムによる更新年月日
