Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51
サブジェクトエリア名,,,,,,,,,,,,,商標見本ファイル,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ファイル名（論理名）,,,,,,,,,,,,,商標見本ファイル,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ファイル名（物理名）,,,,,,,,,,,,,t_sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ファイル名,,,,,,,,,,,,,t_sample.tsv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
項番,,提供項目名（論理名）,,,,,,,,,,,,,,,,,,,,,提供項目名（物理名）,,,,,,,,,,,,,"主
キー",,論理データ型,,,,,,,,,,"コード
INDEX",,,備考
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,型,,,,,最大桁数,,,,,,,,
1,,国コード,,,,,,,,,,,,,,,,,,,,,cntry_cd,,,,,,,,,,,,,,,半角文字列型,,,,,2,,,,,-,,,JP:日本
2,,文献種別,,,,,,,,,,,,,,,,,,,,,doc_typ,,,,,,,,,,,,,,,半角文字列型,,,,,2,,,,,-,,,T1:商標
3,,文献番号,,,,,,,,,,,,,,,,,,,,,doc_num,,,,,,,,,,,,,○,,半角文字列型,,,,,8,,,,,16010,,,
4,,出願番号,,,,,,,,,,,,,,,,,,,,,app_num,,,,,,,,,,,,,,,半角文字列型,,,,,10,,,,,16020,,,
5,,頁番号,,,,,,,,,,,,,,,,,,,,,page_num,,,,,,,,,,,,,○,,半角文字列型,,,,,4,,,,,-,,,0001～9999
6,,レコード順序番号,,,,,,,,,,,,,,,,,,,,,rec_seq_num,,,,,,,,,,,,,○,,半角文字列型,,,,,2,,,,,-,,,分割されたレコードの順序番号。01～99。
7,,年号コード,,,,,,,,,,,,,,,,,,,,,year_issu_cd,,,,,,,,,,,,,○,,半角文字列型,,,,,1,,,,,16030,,,
8,,データ作成日(西暦),,,,,,,,,,,,,,,,,,,,,data_crt_dt,,,,,,,,,,,,,,,半角文字列型,,,,,8,,,,,-,,,
9,,全頁数,,,,,,,,,,,,,,,,,,,,,all_page_cnt,,,,,,,,,,,,,,,半角文字列型,,,,,4,,,,,-,,,0001～9999
10,,最終レコード順序番号,,,,,,,,,,,,,,,,,,,,,final_rec_seq_num,,,,,,,,,,,,,,,半角文字列型,,,,,2,,,,,-,,,レコード分割数。01～99。
11,,原寸の大きさ_縦,,,,,,,,,,,,,,,,,,,,,fullsize_length,,,,,,,,,,,,,,,半角文字列型,,,,,3,,,,,-,,,原寸縦の大きさ（mm）。001～999。
12,,原寸の大きさ_横,,,,,,,,,,,,,,,,,,,,,fullsize_width,,,,,,,,,,,,,,,半角文字列型,,,,,3,,,,,-,,,原寸横の大きさ（mm）。001～999。
13,,圧縮方式,,,,,,,,,,,,,,,,,,,,,comp_frmlchk,,,,,,,,,,,,,,,半角文字列型,,,,,2,,,,,-,,,"JP:JPEG方式
M2:MMR方式"
14,,解像度,,,,,,,,,,,,,,,,,,,,,resolution,,,,,,,,,,,,,,,半角文字列型,,,,,2,,,,,-,,,"00:JPEG方式
16:MMR方式"
15,,ライン数_縦,,,,,,,,,,,,,,,,,,,,,linecnt_length,,,,,,,,,,,,,,,半角文字列型,,,,,4,,,,,-,,,縦のピクセル数。0001～9999。
16,,ライン数_横,,,,,,,,,,,,,,,,,,,,,linecnt_width,,,,,,,,,,,,,,,半角文字列型,,,,,4,,,,,-,,,横のピクセル数。0001～9999。
17,,イメージデータ長,,,,,,,,,,,,,,,,,,,,,image_data_len,,,,,,,,,,,,,,,数値型,,,,,5,,,,,-,,,00001～19740
18,,イメージデータ,,,,,,,,,,,,,,,,,,,,,image_data,,,,,,,,,,,,,,,text型,,,,,-,,,,,-,,,イメージデータについてはBASE64形式でエンコードしたテキストデータを設定する。
