Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51
サブジェクトエリア名,,,,,,,,,,,,,ハーグ指定官庁マスタ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ファイル名（論理名）,,,,,,,,,,,,,中間記録_国際意匠公報_意匠単位ファイル,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ファイル名（物理名）,,,,,,,,,,,,,intrmd_rec_intl_d_bul_d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ファイル名,,,,,,,,,,,,,intrmd_rec_intl_d_bul_d.tsv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
項番,,提供項目名（論理名）,,,,,,,,,,,,,,,,,,,,,提供項目名（物理名）,,,,,,,,,,,,,"主
キー",,論理データ型,,,,,,,,,,"コード
INDEX",,,備考
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,型,,,,,最大桁数,,,,,,,,
1,,書類番号,,,,,,,,,,,,,,,,,,,,,doc_num,,,,,,,,,,,,,○,,半角文字列型,,,,,11,,,,,-,,,
2,,履歴番号,,,,,,,,,,,,,,,,,,,,,history_num,,,,,,,,,,,,,○,,半角文字列型,,,,,4,,,,,-,,,
3,,出願番号,,,,,,,,,,,,,,,,,,,,,app_num,,,,,,,,,,,,,,,半角文字列型,,,,,10,,,,,-,,,
4,,公報発行日,,,,,,,,,,,,,,,,,,,,,bul_publish_dt,,,,,,,,,,,,,,,半角文字列型,,,,,8,,,,,17020,,,
5,,中間書類コード,,,,,,,,,,,,,,,,,,,,,intrmd_doc_cd,,,,,,,,,,,,,,,半角文字列型,,,,,7,,,,,17060,,,
6,,受付日,,,,,,,,,,,,,,,,,,,,,rcpt_dt,,,,,,,,,,,,,,,半角文字列型,,,,,8,,,,,17050,,,
7,,作成日時,,,,,,,,,,,,,,,,,,,,,create_dttm,,,,,,,,,,,,,,,半角文字列型,,,,,17,,,,,17040,,,
8,,更新日時,,,,,,,,,,,,,,,,,,,,,update_dttm,,,,,,,,,,,,,,,半角文字列型,,,,,17,,,,,17030,,,
