Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51
サブジェクトエリア名,,,,,,,,,,,,,引用文献マスタ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ファイル名（論理名）,,,,,,,,,,,,,非特許マスタ_ファセットファイル,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ファイル名（物理名）,,,,,,,,,,,,,non_p_mstr_facet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ファイル名,,,,,,,,,,,,,non_p_mstr_facet.tsv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
項番,,提供項目名（論理名）,,,,,,,,,,,,,,,,,,,,,提供項目名（物理名）,,,,,,,,,,,,,"主
キー",,論理データ型,,,,,,,,,,"コード
INDEX",,,備考
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,型,,,,,最大桁数,,,,,,,,
1,,ISN,,,,,,,,,,,,,,,,,,,,,isn,,,,,,,,,,,,,○,,半角文字列型,,,,,10,,,,,-,,,
2,,出願番号,,,,,,,,,,,,,,,,,,,,,app_num,,,,,,,,,,,,,○,,半角文字列型,,,,,11,,,,,"06040
06070",,,本項目は「四法＋出願番号」が格納される。
3,,代表文献番号（公開／公告番号）１,,,,,,,,,,,,,,,,,,,,,rep_doc_num_pub_exam_pub_num_1,,,,,,,,,,,,,○,,半角文字列型,,,,,2,,,,,07050,,,引用文献番号の「コード欄」
4,,代表文献番号（公開／公告番号）２,,,,,,,,,,,,,,,,,,,,,rep_doc_num_pub_exam_pub_num_2,,,,,,,,,,,,,○,,半角文字列型,,,,,2,,,,,07050,,,引用文献番号の「文献種別」
5,,代表文献番号（公開／公告番号）３,,,,,,,,,,,,,,,,,,,,,rep_doc_num_pub_exam_pub_num_3,,,,,,,,,,,,,○,,半角文字列型,,,,,9,,,,,07050,,,引用文献番号の「０＋西暦年下２桁＋一連番号（ＪＰ非特許）」または「西暦年＋書籍番号（ＣＳＤＢ又は学術文献等）」
6,,代表文献番号（公開／公告番号）４,,,,,,,,,,,,,,,,,,,,,rep_doc_num_pub_exam_pub_num_4,,,,,,,,,,,,,○,,半角文字列型,,,,,3,,,,,07050,,,引用文献番号の「記事番号（ＣＳＤＢ又は学術文献等）」
7,,繰り返し番号,,,,,,,,,,,,,,,,,,,,,repeat_num,,,,,,,,,,,,,○,,数値型,,,,,5,,,,,-,,,
8,,ファセット,,,,,,,,,,,,,,,,,,,,,facet,,,,,,,,,,,,,,,半角文字列型,,,,,3,,,,,-,,,
