Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51
サブジェクトエリア名,,,,,,,,,,,,,共有データベース（審判）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ファイル名（論理名）,,,,,,,,,,,,,審判事件ファイル,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ファイル名（物理名）,,,,,,,,,,,,,snpn_zkn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ファイル名,,,,,,,,,,,,,snpn_zkn.tsv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
項番,,提供項目名（論理名）,,,,,,,,,,,,,,,,,,,,,提供項目名（物理名）,,,,,,,,,,,,,"主
キー",,論理データ型,,,,,,,,,,"コード
INDEX",,,備考
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,型,,,,,最大桁数,,,,,,,,
1,,識別フラグ,,,,,,,,,,,,,,,,,,,,,skbt_flg,,,,,,,,,,,,,,,半角文字列型,,,,,1,,,,,18380,,,
2,,審判番号,,,,,,,,,,,,,,,,,,,,,snpn_bngu,,,,,,,,,,,,,○,,半角文字列型,,,,,10,,,,,18440,,,
3,,出願番号,,,,,,,,,,,,,,,,,,,,,sytgn_bngu,,,,,,,,,,,,,,,半角文字列型,,,,,10,,,,,18470,,,
4,,四法区分,,,,,,,,,,,,,,,,,,,,,ynpu_kbn,,,,,,,,,,,,,,,半角文字列型,,,,,1,,,,,18120,,,
5,,登録番号,,,,,,,,,,,,,,,,,,,,,turk_bngu,,,,,,,,,,,,,,,半角文字列型,,,,,7,,,,,18500,,,
6,,分割番号,,,,,,,,,,,,,,,,,,,,,bnkt_bngu,,,,,,,,,,,,,,,半角可変長文字列型,,,,,32,,,,,18520,,,
7,,類似番号,,,,,,,,,,,,,,,,,,,,,riz_bngu,,,,,,,,,,,,,,,半角文字列型,,,,,3,,,,,-,,,
8,,防護番号,,,,,,,,,,,,,,,,,,,,,bug_bngu,,,,,,,,,,,,,,,半角文字列型,,,,,3,,,,,-,,,
9,,審級種別,,,,,,,,,,,,,,,,,,,,,snkyu_sybt,,,,,,,,,,,,,,,半角文字列型,,,,,1,,,,,18190,,,
10,,審判種別,,,,,,,,,,,,,,,,,,,,,snpn_sybt,,,,,,,,,,,,,,,半角文字列型,,,,,3,,,,,18170,,,
11,,審判請求日,,,,,,,,,,,,,,,,,,,,,snpn_sikyu_dt,,,,,,,,,,,,,,,半角文字列型,,,,,8,,,,,-,,,
12,,出願番号区分,,,,,,,,,,,,,,,,,,,,,sytgn_bngu_kbn,,,,,,,,,,,,,,,半角文字列型,,,,,1,,,,,18060,,,
13,,審判事件最終処分コード,,,,,,,,,,,,,,,,,,,,,snpn_zkn_sisyu_sybn_cd,,,,,,,,,,,,,,,半角文字列型,,,,,2,,,,,18160,,,
14,,最終処分確定日,,,,,,,,,,,,,,,,,,,,,sisyu_sybn_kkti_dt,,,,,,,,,,,,,,,半角文字列型,,,,,8,,,,,-,,,
15,,更新日時,,,,,,,,,,,,,,,,,,,,,kusn_ntz_bat,,,,,,,,,,,,,,,半角文字列型,,,,,14,,,,,-,,,
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
