Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51
サブジェクトエリア名,,,,,,,,,,,,,共有データベース（審判）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ファイル名（論理名）,,,,,,,,,,,,,庁内書類ファイル,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ファイル名（物理名）,,,,,,,,,,,,,tyuni_syri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ファイル名,,,,,,,,,,,,,tyuni_syri.tsv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
項番,,提供項目名（論理名）,,,,,,,,,,,,,,,,,,,,,提供項目名（物理名）,,,,,,,,,,,,,"主
キー",,論理データ型,,,,,,,,,,"コード
INDEX",,,備考
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,型,,,,,最大桁数,,,,,,,,
1,,識別フラグ,,,,,,,,,,,,,,,,,,,,,skbt_flg,,,,,,,,,,,,,,,半角文字列型,,,,,1,,,,,18380,,,
2,,庁内書類番号,,,,,,,,,,,,,,,,,,,,,tyuni_syri_bngu,,,,,,,,,,,,,〇,,半角文字列型,,,,,11,,,,,18490,,,
3,,審判番号,,,,,,,,,,,,,,,,,,,,,snpn_bngu,,,,,,,,,,,,,,,半角文字列型,,,,,10,,,,,18440,,,
4,,中間コード,,,,,,,,,,,,,,,,,,,,,tyukn_cd,,,,,,,,,,,,,,,半角文字列型,,,,,7,,,,,18480,,,
5,,起案日,,,,,,,,,,,,,,,,,,,,,kan_dt,,,,,,,,,,,,,,,半角文字列型,,,,,8,,,,,-,,,
6,,中間記録表示順基準日,,,,,,,,,,,,,,,,,,,,,tyukn_krk_hyuzjn_kjn_dt,,,,,,,,,,,,,,,半角文字列型,,,,,8,,,,,-,,,
7,,宛先種別,,,,,,,,,,,,,,,,,,,,,atsk_sybt,,,,,,,,,,,,,,,半角文字列型,,,,,1,,,,,18150,,,
8,,異議当事者番号,,,,,,,,,,,,,,,,,,,,,ig_tuzsy_bngu,,,,,,,,,,,,,,,半角文字列型,,,,,3,,,,,18430,,,
9,,参加申請番号,,,,,,,,,,,,,,,,,,,,,snk_snsi_bngu,,,,,,,,,,,,,,,半角文字列型,,,,,3,,,,,-,,,
10,,庁内書類作成日,,,,,,,,,,,,,,,,,,,,,tyuni_syri_sksi_dt,,,,,,,,,,,,,,,半角文字列型,,,,,8,,,,,-,,,
11,,有効フラグ,,,,,,,,,,,,,,,,,,,,,yuku_flg,,,,,,,,,,,,,,,半角文字列型,,,,,1,,,,,18290,,,
12,,対応マーク,,,,,,,,,,,,,,,,,,,,,tiou_mk,,,,,,,,,,,,,,,半角文字列型,,,,,2,,,,,18200,,,
13,,閲覧禁止フラグ,,,,,,,,,,,,,,,,,,,,,etrn_kns_flg,,,,,,,,,,,,,,,半角文字列型,,,,,1,,,,,18400,,,
14,,書類フォーマット種別,,,,,,,,,,,,,,,,,,,,,syri_fomt_sybt,,,,,,,,,,,,,,,半角文字列型,,,,,1,,,,,18270,,,
15,,庁内書類イメージ頁数,,,,,,,,,,,,,,,,,,,,,tyuni_syri_img_pagesu,,,,,,,,,,,,,,,数値型,,,,,5,,,,,-,,,
16,,書類サイズ,,,,,,,,,,,,,,,,,,,,,syri_siz,,,,,,,,,,,,,,,数値型,,,,,6,,,,,-,,,
17,,更新日時,,,,,,,,,,,,,,,,,,,,,kusn_ntz_bat,,,,,,,,,,,,,,,半角文字列型,,,,,14,,,,,-,,,
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
