Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51
サブジェクトエリア名,,,,,,,,,,,,,共有データベース（審判）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ファイル名（論理名）,,,,,,,,,,,,,出訴・上告情報ファイル,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ファイル名（物理名）,,,,,,,,,,,,,syss_jukk_juhu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ファイル名,,,,,,,,,,,,,syss_jukk_juhu.tsv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
項番,,提供項目名（論理名）,,,,,,,,,,,,,,,,,,,,,提供項目名（物理名）,,,,,,,,,,,,,"主
キー",,論理データ型,,,,,,,,,,"コード
INDEX",,,備考
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,型,,,,,最大桁数,,,,,,,,
1,,識別フラグ,,,,,,,,,,,,,,,,,,,,,skbt_flg,,,,,,,,,,,,,,,半角文字列型,,,,,1,,,,,18380,,,
2,,裁判所コード,,,,,,,,,,,,,,,,,,,,,sibnsy_cd,,,,,,,,,,,,,○,,半角文字列型,,,,,5,,,,,18450,,,
3,,事件記録符号コード,,,,,,,,,,,,,,,,,,,,,zkn_krk_hgu_cd,,,,,,,,,,,,,○,,半角文字列型,,,,,3,,,,,18020,,,
4,,事件番号,,,,,,,,,,,,,,,,,,,,,zkn_bngu,,,,,,,,,,,,,○,,半角文字列型,,,,,9,,,,,-,,,
5,,繰返番号,,,,,,,,,,,,,,,,,,,,,krkes_bngu,,,,,,,,,,,,,○,,数値型,,,,,4,,,,,-,,,
6,,出訴・上告事件番号,,,,,,,,,,,,,,,,,,,,,syss_jukk_zkn_bngu,,,,,,,,,,,,,,,半角文字列型,,,,,9,,,,,-,,,
7,,出訴・上告事件記録符号コード,,,,,,,,,,,,,,,,,,,,,syss_jukk_zkn_krk_hgu_cd,,,,,,,,,,,,,,,半角文字列型,,,,,3,,,,,18020,,,
8,,表示用事件番号_元号,,,,,,,,,,,,,,,,,,,,,hyuzyu_zkn_bngu_gngu,,,,,,,,,,,,,,,全半角可変長文字列型,,,,,4,,,,,-,,,
9,,表示用事件番号_年数,,,,,,,,,,,,,,,,,,,,,hyuzyu_zkn_bngu_nnsu,,,,,,,,,,,,,,,半角可変長文字列型,,,,,3,,,,,-,,,
10,,表示用事件番号_番号,,,,,,,,,,,,,,,,,,,,,hyuzyu_zkn_bngu_bngu,,,,,,,,,,,,,,,半角可変長文字列型,,,,,5,,,,,-,,,
11,,出訴・上告日,,,,,,,,,,,,,,,,,,,,,syss_jukk_dt,,,,,,,,,,,,,,,半角文字列型,,,,,8,,,,,-,,,
12,,対応繰返番号,,,,,,,,,,,,,,,,,,,,,tiou_krkes_bngu,,,,,,,,,,,,,,,数値型,,,,,4,,,,,-,,,
13,,更新日時,,,,,,,,,,,,,,,,,,,,,kusn_ntz_bat,,,,,,,,,,,,,,,半角文字列型,,,,,14,,,,,-,,,
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
