Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51
サブジェクトエリア名,,,,,,,,,,,,,共有データベース（審判）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ファイル名（論理名）,,,,,,,,,,,,,判決分類ファイル,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ファイル名（物理名）,,,,,,,,,,,,,hnkt_bnri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ファイル名,,,,,,,,,,,,,hnkt_bnri.tsv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
項番,,提供項目名（論理名）,,,,,,,,,,,,,,,,,,,,,提供項目名（物理名）,,,,,,,,,,,,,"主
キー",,論理データ型,,,,,,,,,,"コード
INDEX",,,備考
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,型,,,,,最大桁数,,,,,,,,
1,,識別フラグ,,,,,,,,,,,,,,,,,,,,,skbt_flg,,,,,,,,,,,,,,,半角文字列型,,,,,1,,,,,18380,,,
2,,裁判所コード,,,,,,,,,,,,,,,,,,,,,sibnsy_cd,,,,,,,,,,,,,○,,半角文字列型,,,,,5,,,,,18450,,,
3,,事件記録符号コード,,,,,,,,,,,,,,,,,,,,,zkn_krk_hgu_cd,,,,,,,,,,,,,○,,半角文字列型,,,,,3,,,,,18020,,,
4,,事件番号,,,,,,,,,,,,,,,,,,,,,zkn_bngu,,,,,,,,,,,,,○,,半角文字列型,,,,,9,,,,,-,,,
5,,訴訟区分,,,,,,,,,,,,,,,,,,,,,ssyu_kbn,,,,,,,,,,,,,○,,半角文字列型,,,,,1,,,,,18370,,,
6,,繰返番号,,,,,,,,,,,,,,,,,,,,,krkes_bngu,,,,,,,,,,,,,○,,数値型,,,,,4,,,,,-,,,
7,,四法区分,,,,,,,,,,,,,,,,,,,,,ynpu_kbn,,,,,,,,,,,,,,,半角文字列型,,,,,1,,,,,18120,,,
8,,審級種別,,,,,,,,,,,,,,,,,,,,,snkyu_sybt,,,,,,,,,,,,,,,半角文字列型,,,,,1,,,,,18190,,,
9,,審判種別,,,,,,,,,,,,,,,,,,,,,snpn_sybt,,,,,,,,,,,,,,,半角文字列型,,,,,3,,,,,18170,,,
10,,判示事項コード,,,,,,,,,,,,,,,,,,,,,hnz_zku_cd,,,,,,,,,,,,,,,半角文字列型,,,,,3,,,,,18090,,,
11,,判決分類結論コード,,,,,,,,,,,,,,,,,,,,,hnkt_bnri_ktrn_cd,,,,,,,,,,,,,,,半角可変長文字列型,,,,,16,,,,,18530,,,
12,,補助分類識別,,,,,,,,,,,,,,,,,,,,,hj_bnri_skbt,,,,,,,,,,,,,,,半角文字列型,,,,,13,,,,,-,,,
13,,訟務識別,,,,,,,,,,,,,,,,,,,,,syum_skbt,,,,,,,,,,,,,,,半角文字列型,,,,,1,,,,,18080,,,
14,,更新日時,,,,,,,,,,,,,,,,,,,,,kusn_ntz_bat,,,,,,,,,,,,,,,半角文字列型,,,,,14,,,,,-,,,
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
