Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51
サブジェクトエリア名,,,,,,,,,,,,,共有データベース（審判）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ファイル名（論理名）,,,,,,,,,,,,,侵害訴訟ファイル,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ファイル名（物理名）,,,,,,,,,,,,,sngi_ssyu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ファイル名,,,,,,,,,,,,,sngi_ssyu.tsv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
項番,,提供項目名（論理名）,,,,,,,,,,,,,,,,,,,,,提供項目名（物理名）,,,,,,,,,,,,,"主
キー",,論理データ型,,,,,,,,,,"コード
INDEX",,,備考
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,型,,,,,最大桁数,,,,,,,,
1,,識別フラグ,,,,,,,,,,,,,,,,,,,,,skbt_flg,,,,,,,,,,,,,,,半角文字列型,,,,,1,,,,,18380,,,
2,,裁判所コード,,,,,,,,,,,,,,,,,,,,,sibnsy_cd,,,,,,,,,,,,,○,,半角文字列型,,,,,5,,,,,18450,,,
3,,事件記録符号コード,,,,,,,,,,,,,,,,,,,,,zkn_krk_hgu_cd,,,,,,,,,,,,,○,,半角文字列型,,,,,3,,,,,18020,,,
4,,事件番号,,,,,,,,,,,,,,,,,,,,,zkn_bngu,,,,,,,,,,,,,○,,半角文字列型,,,,,9,,,,,-,,,
5,,表示用侵害訴訟事件番号_元号,,,,,,,,,,,,,,,,,,,,,hyuzyu_sngi_ssyu_zkn_bngu_gngu,,,,,,,,,,,,,,,全半角可変長文字列型,,,,,4,,,,,-,,,
6,,表示用侵害訴訟事件番号_年数,,,,,,,,,,,,,,,,,,,,,hyuzyu_sngi_ssyu_zkn_bngu_nnsu,,,,,,,,,,,,,,,半角可変長文字列型,,,,,3,,,,,-,,,
7,,表示用侵害訴訟事件番号_通番,,,,,,,,,,,,,,,,,,,,,hyuzyu_sngi_ssyu_zkn_bngu_tubn,,,,,,,,,,,,,,,半角可変長文字列型,,,,,5,,,,,-,,,
8,,裁判所支部等,,,,,,,,,,,,,,,,,,,,,sibnsy_sbtu,,,,,,,,,,,,,,,全半角可変長文字列型,,,,,14,,,,,-,,,
9,,終局日,,,,,,,,,,,,,,,,,,,,,syukyk_dt,,,,,,,,,,,,,,,半角文字列型,,,,,8,,,,,-,,,
10,,終局事由コード,,,,,,,,,,,,,,,,,,,,,syukyk_zyu_cd,,,,,,,,,,,,,,,半角文字列型,,,,,2,,,,,18340,,,
11,,更新日時,,,,,,,,,,,,,,,,,,,,,kusn_ntz_bat,,,,,,,,,,,,,,,半角文字列型,,,,,14,,,,,-,,,
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
