Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51
サブジェクトエリア名,,,,,,,,,,,,,共有データベース（審判）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ファイル名（論理名）,,,,,,,,,,,,,A系受付書類（書類データ有）ファイル,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ファイル名（物理名）,,,,,,,,,,,,,aki_uktk_syri_syri_dt_ar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ファイル名,,,,,,,,,,,,,aki_uktk_syri_syri_dt_ar.tsv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
項番,,提供項目名（論理名）,,,,,,,,,,,,,,,,,,,,,提供項目名（物理名）,,,,,,,,,,,,,"主
キー",,論理データ型,,,,,,,,,,"コード
INDEX",,,備考
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,型,,,,,最大桁数,,,,,,,,
1,,識別フラグ,,,,,,,,,,,,,,,,,,,,,skbt_flg,,,,,,,,,,,,,,,半角文字列型,,,,,1,,,,,18380,,,
2,,受付書類番号,,,,,,,,,,,,,,,,,,,,,uktk_syri_bngu,,,,,,,,,,,,,○,,半角文字列型,,,,,11,,,,,18460,,,
3,,審判番号,,,,,,,,,,,,,,,,,,,,,snpn_bngu,,,,,,,,,,,,,,,半角文字列型,,,,,10,,,,,18440,,,
4,,中間コード,,,,,,,,,,,,,,,,,,,,,tyukn_cd,,,,,,,,,,,,,,,半角文字列型,,,,,7,,,,,18480,,,
5,,書類差出日,,,,,,,,,,,,,,,,,,,,,syri_ssds_dt,,,,,,,,,,,,,,,半角文字列型,,,,,8,,,,,-,,,
6,,書類受付日,,,,,,,,,,,,,,,,,,,,,syri_uktk_dt,,,,,,,,,,,,,,,半角文字列型,,,,,8,,,,,-,,,
7,,指令・却理区分,,,,,,,,,,,,,,,,,,,,,sri_kykr_kbn,,,,,,,,,,,,,,,半角文字列型,,,,,1,,,,,18230,,,
8,,方式処分ステータス,,,,,,,,,,,,,,,,,,,,,husk_sybn_stat,,,,,,,,,,,,,,,半角文字列型,,,,,1,,,,,18250,,,
9,,発送書類番号,,,,,,,,,,,,,,,,,,,,,hssu_syri_bngu,,,,,,,,,,,,,,,半角文字列型,,,,,11,,,,,18510,,,
10,,整理番号,,,,,,,,,,,,,,,,,,,,,sir_bngu,,,,,,,,,,,,,,,半角可変長文字列型,,,,,10,,,,,-,,,
11,,書類種別コード,,,,,,,,,,,,,,,,,,,,,syri_sybt_cd,,,,,,,,,,,,,,,半角文字列型,,,,,1,,,,,18280,,,
12,,書類分類コード,,,,,,,,,,,,,,,,,,,,,syri_bnri_cd,,,,,,,,,,,,,,,半角文字列型,,,,,8,,,,,-,,,
13,,有効フラグ,,,,,,,,,,,,,,,,,,,,,yuku_flg,,,,,,,,,,,,,,,半角文字列型,,,,,1,,,,,18290,,,
14,,対応マーク,,,,,,,,,,,,,,,,,,,,,tiou_mk,,,,,,,,,,,,,,,半角文字列型,,,,,2,,,,,18200,,,
15,,閲覧禁止フラグ,,,,,,,,,,,,,,,,,,,,,etrn_kns_flg,,,,,,,,,,,,,,,半角文字列型,,,,,1,,,,,18400,,,
16,,変更対象出願人・代理人コード,,,,,,,,,,,,,,,,,,,,,hnku_tisyu_sytgnnn_dirnn_cd,,,,,,,,,,,,,,,半角可変長文字列型,,,,,9,,,,,-,,,
17,,優先権提出国コード,,,,,,,,,,,,,,,,,,,,,yusnkn_tisytkk_cd,,,,,,,,,,,,,,,半角可変長文字列型,,,,,9,,,,,-,,,
18,,書類実体履歴番号,,,,,,,,,,,,,,,,,,,,,syri_ztti_rrk_bngu,,,,,,,,,,,,,,,数値型,,,,,9,,,,,-,,,
19,,明細書バージョン,,,,,,,,,,,,,,,,,,,,,misisy_ver,,,,,,,,,,,,,,,半角文字列型,,,,,1,,,,,-,,,
20,,無効後書類有無,,,,,,,,,,,,,,,,,,,,,mkug_syri_um,,,,,,,,,,,,,,,半角文字列型,,,,,1,,,,,18310,,,
21,,書類フォーマット種別,,,,,,,,,,,,,,,,,,,,,syri_fomt_sybt,,,,,,,,,,,,,,,半角文字列型,,,,,1,,,,,18270,,,
